#,20,20,20,40,40,40,60,60,60,100,100,100
        #E(MeV) ,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,noph,     Eforward_ph ,     Eforward_el ,     noph
0.64545,77,106163,106049,87,643,588,93,0,0,100,0,0
0.64935,48,83511,83031,71,339,342,73,0,0,48,0,0
0.65325,56,63339,62961,53,150,157,50,0,0,45,0,0
0.65715,50,47035,46614,50,67,72,37,0,0,41,0,0
0.66105,44,33148,33279,37,29,28,44,0,0,32,0,0
0.66495,24,22820,22821,23,6,15,18,0,0,17,0,0
0.66885,18,15061,14880,16,1,2,19,0,0,12,0,0
0.67275,15,9386,9071,17,4,1,13,0,0,21,0,0
0.67665,11,5032,5110,12,0,0,13,0,0,6,0,0
0.68055,9,2421,2496,1,0,0,13,0,0,4,0,0
0.68445,6,927,936,5,0,0,3,0,0,8,0,0
0.68835,4,287,259,0,0,0,1,0,0,2,0,0
0.69225,1,46,68,1,0,0,3,0,0,0,0,0
0.69615,0,5,3,0,0,0,1,0,0,0,0,0
0.70005,2,0,0,0,0,0,1,0,0,0,0,0
0.70395,0,0,0,0,0,0,0,0,0,0,0,0
0.70785,0,0,0,0,0,0,0,0,0,0,0,0
0.71175,0,0,0,0,0,0,0,0,0,0,0,0
0.71565,0,0,0,0,0,0,0,0,0,0,0,0
0.71955,0,0,0,0,0,0,0,0,0,0,0,0
0.72345,0,0,0,0,0,0,0,0,0,0,0,0
0.72735,0,0,0,0,0,0,0,0,0,0,0,0
0.73125,0,0,0,0,0,0,0,0,0,0,0,0
0.73515,0,0,0,0,0,0,0,0,0,0,0,0
0.73905,0,0,0,0,0,0,0,0,0,0,0,0
0.74295,0,0,0,0,0,0,0,0,0,0,0,0
0.74685,0,0,0,0,0,0,0,0,0,0,0,0
0.75075,0,0,0,0,0,0,0,0,0,0,0,0
0.75465,0,0,0,0,0,0,0,0,0,0,0,0
0.75855,0,0,0,0,0,0,0,0,0,0,0,0
0.76245,0,0,0,0,0,0,0,0,0,0,0,0
0.76635,0,0,0,0,0,0,0,0,0,0,0,0
0.77025,0,0,0,0,0,0,0,0,0,0,0,0
0.77415,0,0,0,0,0,0,0,0,0,0,0,0
0.77805,0,0,0,0,0,0,0,0,0,0,0,0
0.78195,0,0,0,0,0,0,0,0,0,0,0,0
