# E(keV),beta sin absorb,rX sin absorb,20 micras,40 micras,60 micras,100 micras,,Area sin absorbente: 1.217e6
# 1,2,3,4,5,6,7,,
59.71,2323.301621373,0,382.301621373,171.301621373,96.2073161338,53.0159070873,,
60.1,2338.1295565181,0,450.1295565181,170.1295565181,84.4393515067,40.1295565181,,
60.49,2319.0597186554,0,375.0597186554,159.0597186554,88.2738416622,67.2025757982,,
60.88,2389.92004293,0,380.92004293,142.92004293,78.2298379186,44.2057572157,,
61.27,2368.3340105025,0,365.3340105025,180.3340105025,77.8565617554,37.7625819311,,
61.66,2337.9898807927,0,408.9898807927,165.9898807927,79.5124320455,54.8470236498,,
62.05,2412.7479780751,0,383.7479780751,169.7479780751,71.185335706,57.0336923608,,
62.44,2375.7155889455,0,381.7155889455,140.7155889455,78.1210559159,53.4298746598,,
62.83,2457.8178159378,0,382.8178159378,135.8178159378,51.2123489674,48.8178159378,,
63.22,2335.0597186554,0,369.0597186554,143.0597186554,71.3481013433,29.4882900839,,
63.61,2321.8178159378,0,359.8178159378,159.8178159378,81.9148546621,47.1035302235,,
64,2277.6457510828,0,343.6457510828,139.6457510828,59.5190996022,70.9801979025,,
64.39,2363.1993943808,0,389.1993943808,151.1993943808,66.4344741074,95.9883708111,,
64.78,2343.8876538005,0,324.8876538005,167.8876538005,138.63073849,218.1630016299,,
65.17,2388.5759132201,0,385.5759132201,149.5759132201,180.8861236018,298.9378806373,,
65.56,2311.027,0.0029924119,376.0273295259,186.0273295259,615.4927260795,511.4582205768,,
65.95,2315.997,600.9139571638,554.8232948571,165.9898807927,542.4508491629,502.5194127245,,
66.34,2320.967,803.2307427449,391.6645133616,184.9026679285,415.7389772631,477.5134617295,,
66.73,2325.937,1304.2735493465,926.3050464516,547.58103452,459.3866389675,851.2706677014,,
67.12,2330.907,3583.3329458768,2089.6979297958,1571.8753488203,1420.7190620789,1849.2568842954,,
67.51,2335.877,5450.1849646951,5908.2930634557,5613.7404451654,4200.1309022421,3497.2051817421,,
67.9,2340.847,8399.0682405922,7949.3893620299,8017.4017750876,6690.7079586745,3441.1468105922,,
68.29,2345.817,6157.2498670821,5353.7401180167,5786.7741834139,4512.0458318803,3686.6719872224,,
68.68,2350.787,4229.4881861591,2014.4933962382,2239.5815419123,1808.5974036184,2047.9788103436,,
69.07,2355.757,3423.078417224,2184.1960983659,2098.1243295172,1569.09406926,2572.002765045,,
69.46,2360.727,7695.4733232225,7261.7647841164,5923.022226406,4848.5120962235,4452.7545320019,,
69.85,2365.697,14086.0714041487,12669.7021002202,12060.4850103724,8718.5732121321,5469.1455223,,
70.24,2370.667,11533.7315326921,10612.7075862712,10825.4628502185,8395.5752806652,5265.2495041187,,
70.63,2375.637,5312.280216624,4073.0734461317,4486.9333735389,3574.5808630158,2930.5919830336,,
71.02,2380.607,1803.0164381109,1184.5689870359,787.5151381835,714.5153011743,681.593473968,,
71.41,2385.577,0.8091449748,318.7539906981,71.9847946147,-50.1953582851,-57.6414799092,,
71.8,2425.6781402124,0,340.6781402124,113.6781402124,29.7533110552,-159.7143274246,,
72.19,2417.4412970984,0,329.4412970984,135.4412970984,38.5483586018,-11.2370547535,,
72.58,2390.6133619533,0,329.6133619533,111.6133619533,33.7842047779,8.3276476676,,
72.97,2458.0971673886,0,325.0971673886,109.0971673886,38.2361195526,14.2400245314,,
73.36,2440.301621373,0,275.301621373,88.301621373,28.5043548582,5.0159070873,,
73.75,2493.683199816,0,350.683199816,118.683199816,41.7583706588,34.3974855303,,
74.14,2485.0597186554,0,333.0597186554,101.0597186554,29.6241833479,3.7740043697,,
74.53,2547.6457510828,0,347.6457510828,100.6457510828,28.4229720396,15.3600367971,,
74.92,2490.6133619533,0,331.6133619533,108.6133619533,29.8479860991,20.3276476676,,
75.31,2507.0273295259,0,297.0273295259,94.0273295259,27.5066005965,22.4559009544,,
75.7,2419.8178159378,0,341.8178159378,91.8178159378,20.9034651405,2.532101652,,
76.09,2454.7155889455,0,347.7155889455,86.7155889455,25.3757256198,20.8584460884,,
76.48,2507.3714592357,0,325.3714592357,80.3714592357,31.3614364567,20.8000306643,,
76.87,2436.3714592357,0,343.3714592357,123.3714592357,36.4785207391,43.08574495,,
77.26,2431.9251025336,0,347.9251025336,137.9251025336,54.0216856771,27.0679596765,,
77.65,2494.9574916632,0,344.9574916632,105.9574916632,47.0859654673,30.6717773774,,
78.04,2492.5435240906,0,329.5435240906,113.1705859584,34.4697199904,26.7762717966,,
78.43,2441.61,0.052587735,347.9522006222,348.9034833133,-22.1976301016,273.8665106705,,
78.82,2443.87,1226.3045866827,403.180498298,201.3784643166,453.9596860267,861.6767290729,,
79.21,2446.13,2407.8376618492,1845.1641617782,1901.8610977957,1279.1297341394,1903.527636149,,
79.6,2448.39,5293.270840335,3183.1811170878,3129.8295256752,2772.9418882216,2387.4178913172,,
79.99,2450.65,3688.0503316224,4550.9976375469,4085.3283510875,3121.7717134509,2635.8822279274,,
80.38,2452.91,3921.5098464373,2858.4277715635,2642.2057250932,2089.6880129635,1507.3096303763,,
80.77,2455.17,1180.4891741216,904.6500067218,637.4981264313,793.6978058033,1053.2572503507,,
81.16,2457.43,0.1960385273,379.0108258548,111.4813286581,68.2839992806,197.666808768,,
81.55,2580.3390701062,0,353.3390701062,106.3390701062,85.1945935983,221.1953958783,,
81.94,2515.4412970984,0,370.4412970984,114.4412970984,35.7930055266,-11.2925507745,,
82.33,2545.8552646709,0,390.8552646709,148.8552646709,43.292166721,14.7124075281,,
82.72,2484.6133619533,0,368.6133619533,139.6133619533,47.9545920217,1.4705048105,,
83.11,2549.9574916632,0,370.9574916632,131.9574916632,28.1921158089,-1.899651194,,
83.5,2551.9251025336,0,325.9251025336,124.9251025336,22.9255581145,13.3536739622,,
83.89,2644.0971673886,0,320.0971673886,96.0971673886,21.7040011015,-2.9028326114,,
84.28,2551.8876538005,0,327.8876538005,87.8876538005,10.7710250989,2.8876538005,,
84.67,2493.0971673886,0,339.0971673886,102.0971673886,20.5231354979,9.0971673886,,
85.06,2532.1993943808,0,350.1993943808,93.1993943808,15.6572531507,-0.6577484764,,
85.45,2541.9251025336,0,390.9251025336,89.9251025336,19.3829613036,6.4965311051,,
85.84,2526.9574916632,0,371.9574916632,97.9574916632,21.8941659228,3.2432059489,,
86.23,2593.3390701062,0,348.3390701062,80.3390701062,17.4351976688,6.9104986776,,
86.62,2549.3390701062,0,345.3390701062,97.3390701062,15.0734664615,17.1962129633,,
87.01,2563.0273295259,0,346.0273295259,85.0273295259,12.1553477491,10.4559009544,,
87.4,2595.1670052513,0,332.1670052513,112.1670052513,21.0184858891,4.3098623941,,
87.79,2568.5809728238,0,326.5809728238,97.5809728238,20.6452097258,4.7238299667,,
88.18,2611.4412970984,0,324.4412970984,68.4412970984,19.6545089435,2.2984399555,,
88.57,2547.7155889455,0,340.7155889455,97.7155889455,10.4180946403,0.287017517,,
88.96,2539.8552646709,0,338.8552646709,103.8552646709,15.7386359693,2.7124075281,,
89.35,2546.9251025336,0,334.9251025336,91.9251025336,18.9893394357,18.4965311051,,
89.74,2611.7854268082,0,345.7854268082,87.7854268082,20.7539917285,4.0711410939,,
90.13,2535.5111349611,0,332.5111349611,96.5111349611,17.0008843916,-2.4888650389,,
90.52,2552.9251025336,0,366.9251025336,92.9251025336,22.5319362466,8.2108168193,,
90.91,2566.2692322435,0,345.2692322435,96.2692322435,20.4824440886,-0.302196328,,
91.3,2596.4412970984,0,354.4412970984,102.4412970984,12.5693153216,-1.130131473,,
91.69,2588.683199816,0,352.683199816,98.683199816,18.1410585859,3.5403426732,,
92.08,2600.7530376787,0,373.7530376787,89.7530376787,17.8491652414,12.467323393,,
92.47,2684.2692322435,0,372.2692322435,98.2692322435,19.6952003528,4.8406608149,,
92.86,2671.8552646709,0,324.8552646709,101.8552646709,15.7386359693,9.5695503852,,
93.25,2659.1993943808,0,325.1993943808,80.1993943808,10.5401688682,-4.0863199049,,
93.64,2600.9251025336,0,342.9251025336,85.9251025336,17.808473832,-2.0748974664,,
94.03,2660.0273295259,0,345.0273295259,94.0273295259,9.006372806,-3.2583847599,,
94.42,2598.4089079689,0,348.4089079689,104.4089079689,22.2603886067,3.8374793974,,
94.81,2690.4089079689,0,346.4089079689,90.4089079689,20.2922792673,5.5517651117,,
95.2,2600.4089079689,0,379.4089079689,85.4089079689,22.6540104746,2.1231936832,,
95.59,2646.5809728238,0,346.5809728238,114.5809728238,19.0707222543,4.7238299667,,
95.98,2582.8552646709,0,378.8552646709,86.8552646709,12.5896610263,4.4266932424,,
96.37,2652.2692322435,0,366.2692322435,88.2692322435,17.3334691455,1.4120893863,,
96.76,2598.236843114,0,347.236843114,74.236843114,20.3329706766,8.0939859711,,
97.15,2561.6133619533,0,345.6133619533,87.6133619533,18.8265737984,-0.2437809038,,
97.54,2639.683199816,0,357.683199816,83.683199816,7.5132681531,-1.6025144697,,
97.93,2689.3390701062,0,358.3390701062,99.3390701062,20.190550744,-6.8037870367,,
98.32,2652.5111349611,0,321.5111349611,91.5111349611,21.3307249383,9.5111349611,,
98.71,2688.9251025336,0,328.9251025336,91.9251025336,20.9574487751,3.0679596765,,
99.1,2627.3390701062,0,355.3390701062,76.3390701062,15.0734664615,1.7676415347,,
99.49,2699.1670052513,0,371.1670052513,103.1670052513,18.2631328139,11.1670052513,,
99.88,2575.4787458316,0,343.4787458316,98.4787458316,18.819520319,5.9073172601,,
100.27,2655.6133619533,0,361.6133619533,93.6133619533,13.709489516,-0.2437809038,,
100.66,2606.8228755414,0,325.8228755414,82.8228755414,25.8233311223,0.8228755414,,
101.05,2719.064778259,0,390.064778259,91.064778259,16.0438215392,2.064778259,,
101.44,2718.9251025336,0,379.9251025336,73.9251025336,22.9255581145,4.7822453908,,
101.83,2757.5809728238,0,352.5809728238,87.5809728238,16.708991047,6.4381156809,,
102.22,2752.064778259,0,398.064778259,111.064778259,17.2246871429,10.6362068305,,
102.61,2658.064778259,0,374.064778259,101.064778259,19.980040218,10.6362068305,,
103,2572.2692322435,0,383.2692322435,92.2692322435,22.450553428,-0.302196328,,
103.39,2705.1670052513,0,367.1670052513,85.1670052513,15.9014016066,6.0241481084,,
103.78,2657.5111349611,0,345.5111349611,83.5111349611,11.4901782413,0.9397063897,,
104.17,2694.9949403963,0,375.9949403963,77.9949403963,20.2719335626,-3.4336310322,,
104.56,2770.236843114,0,376.236843114,98.236843114,17.5776176014,9.8082716854,,
104.95,2655.236843114,0,393.236843114,103.236843114,19.152105073,8.0939859711,,
105.34,2702.5485836943,0,352.5485836943,97.5485836943,20.102114446,2.83429798,,
