#,Fuente Varian,,,,Fuente MonoE 6 MeV,,
 #E(MeV) ,compt,phot,conv,,compt,phot,conv
2.99,2.06394E-06,6.8118E-11,8.27281E-08,,0.00320014,2E-08,0.0011582
3.01,2.02695E-06,1.36236E-10,8.35795E-08,,0.00320408,0,0.00116278
3.03,1.98283E-06,1.70295E-10,8.49759E-08,,0.00320856,4E-08,0.00115646
3.05,1.95331E-06,3.4059E-11,8.0276E-08,,0.00319372,6E-08,0.0011617
3.07,1.91775E-06,1.02177E-10,7.68703E-08,,0.00318134,2E-08,0.0011548
3.09,1.88618E-06,6.8118E-11,7.81985E-08,,0.00317304,4E-08,0.00115206
3.11,1.84216E-06,1.02177E-10,7.32943E-08,,0.0031841,4E-08,0.0011531
3.13,1.81165E-06,6.8118E-11,7.16937E-08,,0.0031687,1.2E-07,0.00113808
3.15,1.7793E-06,1.02177E-10,6.99908E-08,,0.00316612,4E-08,0.00115296
3.17,1.74323E-06,0,6.78452E-08,,0.00316886,0,0.00113586
3.19,1.72091E-06,6.8118E-11,6.42011E-08,,0.00316378,4E-08,0.0011428
3.21,1.68208E-06,3.4059E-11,6.50526E-08,,0.00314764,4E-08,0.00114232
3.23,1.65814E-06,1.36236E-10,6.11701E-08,,0.00315446,4E-08,0.00113298
3.25,1.63779E-06,1.70295E-10,6.30773E-08,,0.00315572,2E-08,0.00113214
3.27,1.59138E-06,6.8118E-11,5.91607E-08,,0.00315722,0,0.00112296
3.29,1.57573E-06,0,5.61637E-08,,0.0031385,0,0.00114134
3.31,1.5399E-06,3.4059E-11,5.82412E-08,,0.00315344,4E-08,0.001124
3.33,1.52452E-06,1.36236E-10,5.64362E-08,,0.00313998,0,0.00111634
3.35,1.49597E-06,1.02177E-10,5.43927E-08,,0.00312718,4E-08,0.00111742
3.37,1.45926E-06,1.02177E-10,5.25196E-08,,0.00312716,0,0.00110988
3.39,1.44558E-06,0,5.31667E-08,,0.0031299,0,0.00111456
3.41,1.41645E-06,6.8118E-11,4.95564E-08,,0.00314618,2E-08,0.00109482
3.43,1.37681E-06,1.36236E-10,4.49242E-08,,0.0031654,0,0.00110532
3.45,1.36497E-06,0,4.54351E-08,,0.00312526,2E-08,0.0011037
3.47,1.34326E-06,1.02177E-10,4.24038E-08,,0.00313802,4E-08,0.00109436
3.49,1.31924E-06,6.8118E-11,4.363E-08,,0.00314832,2E-08,0.0010982
3.51,1.29559E-06,6.8118E-11,4.07689E-08,,0.00313772,2E-08,0.00109042
3.53,1.27484E-06,6.8118E-11,3.99174E-08,,0.00313962,4E-08,0.0010753
3.55,1.24449E-06,3.4059E-11,3.7431E-08,,0.00315528,0,0.00107566
3.57,1.23462E-06,0,3.94065E-08,,0.00314772,2E-08,0.00107874
3.59,1.20995E-06,6.8118E-11,3.69201E-08,,0.00314,0,0.00106956
3.61,1.17865E-06,1.36236E-10,3.21517E-08,,0.0031461,2E-08,0.00106568
3.63,1.16146E-06,0,3.56599E-08,,0.00315488,2E-08,0.0010556
3.65,1.15258E-06,3.4059E-11,3.31735E-08,,0.00315608,8E-08,0.00105254
3.67,1.11648E-06,3.4059E-11,3.11299E-08,,0.00316518,2E-08,0.00104958
3.69,1.09773E-06,1.02177E-10,2.99719E-08,,0.00315662,2E-08,0.00103758
3.71,1.08263E-06,6.8118E-11,3.05168E-08,,0.0031625,1E-07,0.00103408
3.73,1.06306E-06,1.36236E-10,2.90523E-08,,0.00315678,4E-08,0.00102952
3.75,1.03802E-06,3.4059E-11,2.63956E-08,,0.00317066,4E-08,0.00102622
3.77,1.01301E-06,3.4059E-11,2.61912E-08,,0.00318128,4E-08,0.00102618
3.79,1.00215E-06,1.36236E-10,2.45223E-08,,0.00318158,2E-08,0.00102048
3.81,9.67686E-07,6.8118E-11,2.6055E-08,,0.00318522,4E-08,0.00101568
3.83,9.63297E-07,0,2.29557E-08,,0.00319204,0,0.00101216
3.85,9.51694E-07,3.4059E-11,2.22404E-08,,0.00319092,4E-08,0.00100548
3.87,9.21445E-07,0,2.24107E-08,,0.0032102,2E-08,0.00099846
3.89,9.10217E-07,6.8118E-11,2.07419E-08,,0.00322458,0,0.00099418
3.91,8.87249E-07,0,1.88005E-08,,0.0032238,2E-08,0.0009867
3.93,8.71155E-07,3.4059E-11,1.83237E-08,,0.00325142,2E-08,0.00098218
3.95,8.51862E-07,1.02177E-10,1.77107E-08,,0.00324196,2E-08,0.00096994
3.97,8.24487E-07,3.4059E-11,1.68251E-08,,0.00325838,2E-08,0.00096434
3.99,8.22579E-07,3.4059E-11,1.4986E-08,,0.0032631,2E-08,0.00095428
4.01,8.16718E-07,3.4059E-11,1.54628E-08,,0.00325624,0,0.00095416
4.03,7.90173E-07,0,1.39983E-08,,0.00328668,2E-08,0.00093916
4.05,7.75248E-07,0,1.3828E-08,,0.00329342,0,0.00093518
4.07,7.48874E-07,0,1.27722E-08,,0.00330596,2E-08,0.00092842
4.09,7.42229E-07,0,1.29765E-08,,0.00330868,0,0.0009295
4.11,7.25975E-07,3.4059E-11,1.28743E-08,,0.00333928,4E-08,0.00090976
4.13,7.10061E-07,0,1.0933E-08,,0.00333992,2E-08,0.0008947
4.15,6.83585E-07,0,1.11033E-08,,0.00336924,6E-08,0.0008841
4.17,6.6992E-07,0,9.29812E-09,,0.00339104,0,0.00088068
4.19,6.67501E-07,0,9.87713E-09,,0.00339264,0,0.00087026
4.21,6.49918E-07,0,9.53653E-09,,0.00339892,4E-08,0.0008641
4.23,6.36424E-07,3.4059E-11,8.37852E-09,,0.00344264,4E-08,0.00086202
4.25,6.13287E-07,0,7.66327E-09,,0.00343542,0,0.0008472
4.27,6.0855E-07,0,7.25456E-09,,0.00344754,0,0.00083498
4.29,5.9601E-07,0,6.94803E-09,,0.00347424,0,0.00082654
4.31,5.80165E-07,6.8118E-11,6.4712E-09,,0.00349268,4E-08,0.00080982
4.33,5.70453E-07,0,6.43714E-09,,0.00351686,8E-08,0.00080718
4.35,5.53927E-07,6.8118E-11,5.58567E-09,,0.00353816,2E-08,0.0007898
4.37,5.42477E-07,3.4059E-11,5.04073E-09,,0.00355054,2E-08,0.00077412
4.39,5.28097E-07,0,5.00667E-09,,0.003572,6E-08,0.0007638
4.41,5.17091E-07,3.4059E-11,4.22332E-09,,0.00361068,6E-08,0.00074868
4.43,5.16853E-07,0,3.78055E-09,,0.00361312,0,0.00073358
4.45,5.01246E-07,0,4.08708E-09,,0.00365218,4E-08,0.00072556
4.47,4.78211E-07,0,3.64431E-09,,0.00367208,2E-08,0.00070256
4.49,4.62297E-07,3.4059E-11,2.89502E-09,,0.00372414,2E-08,0.00069126
4.51,4.48769E-07,3.4059E-11,2.35007E-09,,0.003725,0,0.00067388
4.53,4.42874E-07,3.4059E-11,1.97542E-09,,0.00377144,4E-08,0.00067054
4.55,4.34151E-07,3.4059E-11,1.97542E-09,,0.00378152,2E-08,0.00064228
4.57,4.23996E-07,3.4059E-11,1.94136E-09,,0.00381444,0,0.0006287
4.59,4.18987E-07,0,1.94136E-09,,0.00384668,0,0.00061506
4.61,4.0237E-07,0,1.3283E-09,,0.00387316,0,0.00058934
4.63,3.90793E-07,0,1.15801E-09,,0.0039292,4E-08,0.00056654
4.65,3.81974E-07,0,1.26018E-09,,0.00395702,0,0.00055124
4.67,3.70363E-07,0,5.44944E-10,,0.00398988,2E-08,0.00052898
4.69,3.55891E-07,0,9.19593E-10,,0.0040375,8E-08,0.00050842
4.71,3.48808E-07,3.4059E-11,9.87711E-10,,0.00408058,0,0.00048516
4.73,3.39717E-07,3.4059E-11,2.72472E-10,,0.0041212,6E-08,0.00047044
4.75,3.25109E-07,0,6.13062E-10,,0.0041499,2E-08,0.0004416
4.77,3.15234E-07,0,6.47121E-10,,0.0042151,2E-08,0.00041112
4.79,2.94906E-07,0,4.42767E-10,,0.00425018,0,0.0003871
4.81,2.92012E-07,0,3.06531E-10,,0.00429362,4E-08,0.00035994
4.83,2.87449E-07,0,1.70295E-10,,0.00434952,0,0.000331
4.85,2.73625E-07,3.4059E-11,6.8118E-11,,0.0044148,2E-08,0.00030446
4.87,2.6661E-07,0,1.70295E-10,,0.00446494,0,0.00027428
4.89,2.64874E-07,3.4059E-11,0,,0.0045223,0,0.000238
4.91,2.50845E-07,3.4059E-11,6.8118E-11,,0.00457394,2E-08,0.00020222
4.93,2.36714E-07,0,3.4059E-11,,0.00465544,2E-08,0.00016766
4.95,2.32185E-07,0,3.4059E-11,,0.00470332,0,0.00012778
4.97,2.1836E-07,0,0,,0.00479692,4E-08,8.202E-05
4.99,2.15534E-07,0,0,,0.00485038,0,0
5.01,2.06714E-07,0,0,,0.00493968,2E-08,0
5.03,1.95678E-07,0,0,,0.005014,2E-08,0
5.05,1.89069E-07,3.4059E-11,0,,0.00507874,0,0
5.07,1.82699E-07,6.8118E-11,0,,0.00518434,2E-08,0
5.09,1.72344E-07,3.4059E-11,0,,0.00527738,0,0
5.11,1.63113E-07,3.4059E-11,0,,0.0053662,0,0
5.13,1.55619E-07,0,0,,0.0054776,0,0
5.15,1.4959E-07,0,0,,0.00558462,8E-08,0
5.17,1.42403E-07,0,0,,0.00568932,0,0
5.19,1.38315E-07,0,0,,0.0058336,0,0
5.21,1.28777E-07,3.4059E-11,0,,0.00593552,2E-08,0
5.23,1.16379E-07,0,0,,0.00609106,4E-08,0
5.25,1.11439E-07,3.4059E-11,0,,0.00622112,2E-08,0
5.27,1.05921E-07,0,0,,0.00639014,2E-08,0
