#Table:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        #x(mm) ,            E_e- ,            E_e+ ,       EdepTotal ,No_e-_LeptsElastic ,Ed_e-_LeptsElastic ,No_e+_LeptsElastic ,Ed_e+_LeptsElastic ,No_e-_LeptsExcitRotat ,Ed_e-_LeptsExcitRotat ,No_e+_LeptsExcitRotat ,Ed_e+_LeptsExcitRotat ,No_e+_LeptsExcitVibrat ,Ed_e+_LeptsExcitVibrat ,No_e-_LeptsElectronicExcitation ,Ed_e-_LeptsElectronicExcitation ,No_e+_LeptsElectronicExcitation ,Ed_e+_LeptsElectronicExcitation ,No_e+_LeptsDissocNeutr ,Ed_e+_LeptsDissocNeutr ,No_e-_LeptsIonisationS ,Ed_e-_LeptsIonisationS ,No_e+_LeptsIonisationS ,Ed_e+_LeptsIonisationS ,No_e-_LeptsIonisationD ,Ed_e-_LeptsIonisationD ,No_e+_LeptsIonisationD ,Ed_e+_LeptsIonisationD ,No_e+_LeptsIonisationK ,Ed_e+_LeptsIonisationK ,No_e-_LeptsThermalisation ,Ed_e-_LeptsThermalisation ,No_e-_LeptsAttachment ,Ed_e-_LeptsAttachment ,No_e+_LeptsAnnihilation ,Ed_e+_LeptsAnnihilation ,No_e+_LeptsPositronium ,Ed_e+_LeptsPositronium ,        EdepAxis 
0.002475,831.559,1530650,83439200,409445000,97234.3,524274,726.807,739118000,8622960,457404,5337.29,1538,437.666,578380,5560840,7167,73751.7,229888,13452400,938384,11833000,1185740,14952200,1421,212793,26518,26973900,7019,245665,1937650,17369.5,170100,1268640,683,182.567,2046,121765,130046
0.002525,829.605,1487070,85369500,418464000,99231.9,535678,739.72,756166000,8821880,484124,5648.76,1793,521.76,592573,5696270,7689,78696.6,237870,13803400,958479,12086400,1215340,15325400,1424,212793,27369,27550600,7138,249830,1985290,17798,172353,1285170,770,215.679,2310,134905,128380
0.002575,830.068,1462210,86850700,427903000,101498,541183,784.39,772983000,9018050,486552,5677.11,1710,479.252,604189,5811140,7894,80986.4,245623,14190500,980546,12364700,1241930,15660800,1405,209467,27764,27691900,7238,253330,2029050,18223.9,175447,1308570,738,168.158,2370,134400,126488
0.002625,830.701,1418000,89035600,438651000,104092,555367,809.09,792004000,9240050,521232,6080.42,2048,574.772,617896,5941510,8462,86844.9,254298,14769900,1004070,12661300,1270280,16018200,1432,214810,28663,28208000,7425,259875,2075220,18604.1,180935,1349970,845,171.422,2587,154865,111935
0.002675,830.023,1385470,90480300,445965000,105802,561646,822.82,805376000,9395990,536582,6259.01,2176,618.373,628926,6046930,8812,90612.4,259941,15141800,1017130,12826000,1296580,16349900,1411,208330,29032,28499600,7362,257670,2112020,18915.5,183800,1371040,857,201.779,2745,159913,105806
0.002725,830.162,1355280,92234500,454354000,107804,570874,857.274,820625000,9573960,552750,6448.97,2273,640.262,640747,6161260,9358,96173.9,267915,15634200,1038560,13096300,1320840,16655800,1504,225627,29724,28820300,7526,263410,2152430,19303.5,187983,1401900,924,223.181,2950,170356,91675.8
0.002775,830.519,1327670,93922200,463994000,110120,579861,888.394,837818000,9774500,561966,6557.93,2269,640.653,653423,6282540,9944,102118,275179,16076600,1059910,13365500,1346890,16984300,1533,225047,30321,29099900,7719,270165,2196790,19701.1,190914,1424120,931,226.698,3165,179267,94210.9
0.002825,830.089,1292330,95942500,474580000,112609,590635,901.59,857129000,9999780,585228,6828.04,2404,680.569,668623,6432840,10676,109593,283116,16414900,1084430,13674700,1377450,17369600,1599,237514,31171,29630500,7945,278075,2248430,20193,194883,1453340,1020,274.471,3406,200193,93599.8
0.002875,830.302,1262660,96931900,481186000,114199,597494,922.244,868846000,10136400,603913,7045.09,2533,725.802,677037,6508430,11093,114183,290944,16770800,1096040,13821100,1399280,17645000,1587,234091,31433,29611500,7842,274470,2278100,20437.5,197669,1473050,1064,255.138,3531,199325,97549
0.002925,830.156,1228240,98270500,489256000,116097,607641,951.136,883528000,10307800,635813,7415.69,2955,842.427,691362,6646190,11903,122096,295665,17043700,1116220,14075600,1424700,17965500,1571,231895,31923,29725100,8078,282730,2318450,20789,201968,1506430,1198,306.654,3658,217150,104850
0.002975,830.389,1203150,99693000,498917000,118395,616280,972.803,900919000,10510700,644127,7516.1,2911,820.99,701547,6745920,12233,125366,303564,17549500,1137810,14347700,1447930,18258400,1673,248550,32246,29703300,8299,290465,2359910,21192.4,204771,1527140,1219,326.975,3991,236642,87804.9
0.003025,830.099,1166670,101356000,505548000,119972,626928,980.219,912873000,10650100,677013,7898.79,3197,899.097,711977,6844570,12993,133027,311505,17951500,1151550,14521100,1472640,18569900,1670,247289,33115,30201100,8150,285250,2395110,21483.3,208514,1553490,1355,302.303,4206,247490,88284.5
0.003075,829.872,1147460,101977000,510233000,121088,631659,997.737,921507000,10750900,680084,7934.31,3112,880.206,719080,6911300,13434,137940,315968,18307200,1160920,14639200,1488790,18773700,1608,239840,33231,29957700,8152,285320,2417260,21676.7,210804,1573440,1303,280.561,4408,247614,78372.9
0.003125,830.209,1112860,103295000,517829000,122904,642068,1004.85,934977000,10908100,718169,8378.26,3567,1009.72,729469,7012740,13997,143775,323598,18729700,1179870,14878100,1507460,19009000,1709,252480,33581,30055600,8367,292845,2452230,21987.6,213342,1590180,1443,351.178,4581,266452,82501.6
0.003175,829.344,1093510,103870000,521046000,123585,644393,1016.37,941208000,10980700,724569,8452.61,3623,1040.85,733998,7058260,14338,146918,327514,18955300,1186200,14958000,1520490,19173400,1632,242599,33837,30024800,8288,290080,2469600,22141.8,214774,1602670,1468,393.23,4782,280853,82488.5
0.003225,829.742,1062500,104506000,525930000,124774,651707,1019.43,949782000,11080800,754527,8801.85,3956,1116.84,740287,7116100,14863,152486,330706,19107200,1195680,15077500,1536140,19370700,1586,232917,34221,30005100,8280,289800,2492330,22338,216936,1617780,1595,397.03,5103,296702,71371.1
0.003275,829.16,1049430,105081000,527414000,125078,651771,1037.3,952909000,11117200,743549,8674.83,3809,1072.27,743962,7154160,15118,154982,334121,19237400,1200560,15139100,1540880,19430400,1711,254193,34650,30221600,8402,294070,2502330,22429.6,217090,1618960,1564,372.251,5079,300701,70048.3
0.003325,829.322,1026040,104700000,527780000,125200,652651,1031.03,953392000,11122900,763767,8910.05,3882,1099.91,744101,7152350,15896,163159,335847,19347600,1201000,15144600,1541880,19443000,1626,239440,34273,29703000,8229,288015,2501070,22447.3,217314,1620430,1694,370.535,5361,315852,71764.2
0.003375,829.756,1010000,104802000,528412000,125391,652305,1029.31,954256000,11133000,765150,8925.85,3948,1109.99,746187,7175520,15969,163568,338044,19548500,1200480,15138100,1542320,19448700,1657,247036,34440,29538600,8294,290290,2503010,22462.8,218069,1627100,1686,410.88,5487,331831,76747.3
0.003425,829.483,988726,105017000,531141000,126015,655301,1054.46,959260000,11191300,772867,9016.69,4012,1135.04,748529,7197000,16672,171059,341178,19682100,1205570,15202200,1553440,19588900,1627,240369,34620,29317700,8308,290780,2516550,22549.6,218657,1631720,1711,421.386,5744,343593,56796.4
0.003475,829.668,959948,104483000,530484000,125880,658307,1034.49,957964000,11176200,802763,9367.79,4405,1254.77,747826,7188140,17120,175583,342039,19689500,1203680,15178400,1552100,19572000,1605,238504,34259,28845600,8155,285425,2513440,22559.1,218917,1632430,1821,498.332,5901,340897,58281.4
0.003525,829.618,950416,103329000,525327000,124669,653351,1035.73,948688000,11068000,790922,9225.75,4410,1229.49,737978,7094110,17228,176964,340767,19612600,1190970,15018200,1538380,19399000,1642,243833,34021,28309600,8025,280875,2488210,22320.1,217492,1622010,1840,456.492,5867,344568,50619
0.003575,829.707,927281,102984000,524813000,124542,651965,1015.04,947577000,11055100,815025,9508.46,4611,1312.27,737199,7090950,17417,178654,341526,19704500,1189840,15003900,1534020,19344100,1540,227494,33861,27971000,8149,285215,2483200,22280.1,216443,1613290,1949,449.515,5866,350473,59786.3
0.003625,829.687,905637,102610000,523289000,124180,651045,1015.82,945000000,11025000,830054,9682.3,4771,1329.78,737274,7089960,17673,181671,341169,19564800,1188180,14982900,1530750,19302800,1588,235433,33894,27803700,8076,282660,2478180,22209.7,216937,1617280,1943,463.665,6185,364661,62129.3
0.003675,829.429,890971,101306000,517466000,122784,645702,1011.12,934541000,10902900,823268,9603.42,4787,1337.81,728932,7009350,17898,183994,340571,19509800,1173900,14802900,1515780,19114000,1544,228902,33385,27160600,7949,278215,2451860,22030.4,214303,1598180,1989,446.787,6324,359490,56104.2
0.003725,828.832,875859,100331000,512219000,121502,639307,998.558,925200000,10794000,824120,9614.3,4766,1359.38,718836,6910920,18253,187058,336172,19257800,1159620,14622800,1501940,18939500,1569,231140,33437,27023500,7707,269745,2426820,21735.2,211181,1574550,2027,471.437,6302,364566,58400.3
0.003775,829.404,866850,98885200,507192000,120353,629159,996.233,915850000,10684900,800739,9342.9,4467,1260.05,713375,6855670,18127,187068,333027,19123000,1145900,14449800,1486520,18745000,1650,243452,32773,26240600,7632,267120,2401130,21566.6,209573,1562000,1966,460.384,6350,372617,43779.4
0.003825,828.895,849321,97690600,500575000,118750,625196,969.74,904151000,10548500,807735,9421.31,4716,1351.42,703656,6764200,18401,189036,332507,19137500,1131980,14274300,1469750,18533500,1488,219588,32345,25690400,7459,261065,2372250,21283.1,206559,1540530,2002,559.539,6534,379686,56746.4
0.003875,829.105,830208,96266900,493249000,117012,620330,960.688,890999000,10395100,819974,9566.95,4968,1405.15,694427,6674640,18111,185714,327462,18836200,1118630,14105900,1444880,18219900,1485,218746,32082,25327000,7505,262675,2338320,20973.4,202848,1512230,2070,541.507,6488,378306,46722
0.003925,829.185,817266,95147700,488950000,115990,610794,947.608,883110000,10303000,805191,9387.85,4671,1321.91,686658,6602060,18359,188407,325030,18715300,1108430,13977300,1432270,18060900,1482,215023,31604,24779200,7453,260855,2316020,20738.3,201927,1505530,2035,465.334,6677,391109,42480.2
