#Table:,,,#Table:,,
 #x(mm)/E(MeV) ,       EdepTotal ,, #x(mm)/E(MeV) ,        E_proton ,       EdepTotal 
627,141002000,,313.5,13978.4,1493510000000
629,140223000,,314.5,13879.9,1499030000000
631,139044000,,315.5,13708.7,1514280000000
633,137013000,,316.5,13630.3,1523260000000
635,135741000,,317.5,13446.6,1537350000000
637,134457000,,318.5,13310,1550850000000
639,133170000,,319.5,13173.2,1565020000000
641,132294000,,320.5,13048.1,1569590000000
643,131104000,,321.5,12890.3,1587160000000
645,129030000,,322.5,12791.3,1598620000000
647,127960000,,323.5,12611.4,1619520000000
649,127767000,,324.5,12453.9,1635870000000
651,125358000,,325.5,12325.7,1649630000000
653,126265000,,326.5,12149.8,1667830000000
655,122500000,,327.5,11986.8,1680460000000
657,121781000,,328.5,11803.2,1707780000000
659,120214000,,329.5,11693.6,1719890000000
661,119014000,,330.5,11499.2,1739470000000
663,117905000,,331.5,11371.7,1755830000000
665,116959000,,332.5,11186.8,1770540000000
667,116199000,,333.5,11062,1788550000000
669,114881000,,334.5,10905.8,1802660000000
671,113928000,,335.5,10729.7,1829540000000
673,112389000,,336.5,10589.1,1849250000000
675,110844000,,337.5,10464.4,1871040000000
677,110643000,,338.5,10301.8,1893230000000
679,110073000,,339.5,10153.6,1912710000000
681,107809000,,340.5,10008.1,1932900000000
683,106624000,,341.5,9843.58,1962940000000
685,106157000,,342.5,9684.86,1991950000000
687,104841000,,343.5,9538.62,2012190000000
689,104361000,,344.5,9386.28,2047980000000
691,103026000,,345.5,9224.39,2079730000000
693,101402000,,346.5,9041.53,2120120000000
695,100917000,,347.5,8854.3,2161600000000
697,100287000,,348.5,8700.69,2190410000000
699,99225100,,349.5,8517.76,2242750000000
701,98078400,,350.5,8332.74,2286580000000
703,96714800,,351.5,8164.79,2330880000000
705,96152200,,352.5,7993,2384280000000
707,95172600,,353.5,7817.29,2439400000000
709,93741500,,354.5,7674.11,2487780000000
711,93732800,,355.5,7492.97,2551460000000
713,92256700,,356.5,7278.15,2626980000000
