#  ,15eV,15eV,15eV,15eV,15eV,15eV,15eV,,,10eV,10eV,10eV,10eV,10eV
# E(MeV) , 0mTorr,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref,,2mTorr,2mTorr Ref,9.5mTorr,9.5mTorr Ref,10mTorr,10mTorr Ref
2.235E-06,1000000,823245,928044,316262,370881,293268,340518,,700091,866146,157637,197493,139506,175181
2.245E-06,1000000,823191,927915,316114,370698,293137,340327,,699989,865927,157494,197278,139363,175009
2.255E-06,1000000,823126,927793,315978,370515,293003,340163,,699896,865690,157365,197057,139236,174806
2.265E-06,1000000,823057,927662,315833,370338,292855,339987,,699789,865454,157248,196849,139101,174603
2.275E-06,1000000,823006,927536,315699,370150,292731,339822,,699695,865242,157105,196665,138973,174402
2.285E-06,1000000,822943,927400,315564,369959,292579,339633,,699598,865015,156963,196461,138841,174192
2.295E-06,1000000,822871,927263,315409,369766,292442,339459,,699500,864777,156829,196275,138689,174004
2.305E-06,1000000,822800,927115,315271,369571,292307,339297,,699403,864536,156702,196058,138549,173786
2.315E-06,1000000,822742,926997,315141,369409,292179,339129,,699312,864346,156584,195887,138422,173612
2.325E-06,1000000,822670,926873,315020,369225,292046,338965,,699225,864138,156424,195678,138304,173403
2.335E-06,1000000,822606,926745,314877,369036,291907,338788,,699144,863917,156289,195480,138176,173203
2.345E-06,1000000,822533,926624,314729,368871,291766,338600,,699056,863711,156173,195284,138047,173013
2.355E-06,1000000,822458,926498,314590,368656,291622,338417,,698947,863463,156028,195083,137913,172813
2.365E-06,1000000,822388,926381,314455,368471,291485,338253,,698845,863245,155889,194853,137774,172630
2.375E-06,1000000,822345,926244,314313,368277,291387,338065,,698748,863025,155725,194636,137620,172432
2.385E-06,1000000,822273,926105,314182,368074,291236,337879,,698641,862807,155561,194435,137468,172234
2.395E-06,1000000,822220,925982,314045,367887,291095,337679,,698540,862593,155405,194224,137348,172037
2.405E-06,1000000,822142,925856,313891,367692,290944,337502,,698442,862392,155256,194026,137221,171834
2.415E-06,1000000,822070,925721,313767,367519,290821,337317,,698342,862161,155124,193795,137091,171609
2.425E-06,1000000,822012,925612,313636,367321,290665,337120,,698262,861923,154992,193590,136965,171417
2.435E-06,1000000,821941,925481,313508,367115,290530,336898,,698149,861686,154875,193407,136859,171227
2.445E-06,1000000,821876,925345,313377,366884,290395,336711,,698069,861490,154736,193181,136715,170999
2.455E-06,1000000,821802,925209,313241,366688,290262,336517,,697974,861288,154565,192960,136582,170789
2.465E-06,1000000,821726,925080,313081,366485,290136,336314,,697897,861078,154420,192727,136449,170553
2.475E-06,1000000,821647,924944,312935,366276,290012,336120,,697804,860849,154283,192503,136315,170340
2.485E-06,1000000,821591,924822,312793,366073,289885,335951,,697712,860599,154130,192277,136180,170135
2.495E-06,1000000,821530,924701,312659,365893,289739,335757,,697620,860372,153989,192064,136057,169945
2.505E-06,1000000,821464,924596,312531,365702,289624,335553,,697533,860156,153833,191829,135919,169724
2.515E-06,1000000,821396,924472,312380,365537,289474,335386,,697441,859938,153702,191580,135780,169540
2.525E-06,1000000,821329,924329,312248,365337,289340,335183,,697358,859721,153557,191369,135641,169329
2.535E-06,1000000,821269,924201,312128,365139,289205,334976,,697272,859499,153418,191137,135493,169090
2.545E-06,1000000,821215,924060,311994,364941,289083,334790,,697177,859287,153271,190899,135354,168881
2.555E-06,1000000,821130,923928,311880,364733,288950,334609,,697083,859075,153131,190668,135219,168663
2.565E-06,1000000,821067,923813,311719,364530,288801,334403,,697001,858897,152982,190434,135073,168475
2.575E-06,1000000,821001,923699,311574,364351,288660,334206,,696889,858689,152823,190204,134926,168239
2.585E-06,1000000,820946,923592,311428,364130,288516,334008,,696806,858492,152666,189970,134776,168036
2.595E-06,1000000,820877,923476,311288,363933,288373,333818,,696712,858270,152533,189767,134653,167826
2.605E-06,1000000,820820,923351,311156,363722,288243,333645,,696617,858048,152394,189537,134511,167606
2.615E-06,1000000,820757,923225,311014,363516,288112,333457,,696534,857844,152245,189296,134382,167382
2.625E-06,1000000,820698,923105,310877,363334,287984,333271,,696452,857636,152097,189060,134231,167178
2.635E-06,1000000,820626,922970,310742,363117,287862,333088,,696358,857428,151958,188839,134097,166956
2.645E-06,1000000,820567,922844,310611,362922,287724,332904,,696266,857224,151818,188619,133954,166728
2.655E-06,1000000,820497,922712,310449,362746,287580,332695,,696181,856996,151669,188411,133802,166519
2.665E-06,1000000,820409,922591,310299,362540,287459,332526,,696108,856784,151527,188177,133657,166321
2.675E-06,1000000,820324,922463,310143,362325,287285,332311,,696024,856564,151376,187951,133508,166113
2.685E-06,1000000,820270,922340,309985,362144,287137,332122,,695941,856330,151235,187733,133374,165892
2.695E-06,1000000,820203,922222,309837,361973,286994,331905,,695839,856106,151073,187515,133211,165673
2.705E-06,1000000,820139,922097,309689,361742,286835,331713,,695760,855867,150937,187300,133054,165462
2.715E-06,1000000,820067,921963,309546,361555,286690,331518,,695667,855649,150776,187065,132916,165205
2.725E-06,1000000,819995,921831,309405,361357,286530,331311,,695556,855413,150602,186823,132780,164964
2.735E-06,1000000,819938,921711,309279,361153,286388,331103,,695481,855203,150439,186578,132632,164750
2.745E-06,1000000,819871,921571,309135,360953,286222,330896,,695395,855001,150299,186357,132489,164539
2.755E-06,1000000,819788,921431,308980,360739,286068,330725,,695310,854775,150162,186109,132328,164332
