#  1,2,3,4,5,6,7,8,9,10
# ,P=0mTorr,P=2mTorr,,P=0mTorr,P=0mTorr,P=2mTorr,P=2mTorr,P=2mTorr,P=2mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.), E(MeV) ,        Eforward ,   EforwardInteg ,        Refl-Eforward ,   Refl-EforwardInteg ,        Eforward ,   EforwardInteg 
3.372,76.9660867849493,61.9615347258118,1.295E-06,0,1000000,1188,565371,731,486280
3.3672,74.85018061904,59.7286866275844,1.305E-06,0,1000000,1167,564183,713,485549
3.3624,77.7595515971652,65.310806873153,1.315E-06,0,1000000,1222,563016,767,484836
3.3576,69.2959269335282,57.4958385293569,1.325E-06,0,1000000,1193,561794,740,484069
3.3528,90.9839651340981,53.5883543574589,1.335E-06,0,1000000,1187,560601,715,483329
3.348,86.4876645315409,55.2629904311295,1.345E-06,0,1000000,1119,559414,733,482614
3.3432,84.3717583656317,56.9376265048001,1.355E-06,0,1000000,1158,558295,759,481881
3.3384,80.9334108460291,66.4272309222667,1.365E-06,0,1000000,1176,557137,756,481122
3.3336,85.9586879900636,66.9854429468236,1.375E-06,0,1000000,1200,555961,764,480366
3.3288,92.57089475853,58.6122625784707,1.385E-06,0,1000000,1150,554761,740,479602
3.324,97.5961719025645,55.2629904311295,1.395E-06,0,1000000,1135,553611,761,478862
3.3192,109.233655815065,66.4272309222667,1.405E-06,0,1000000,1215,552476,719,478101
3.3144,92.8353830292687,88.1974998799844,1.415E-06,0,1000000,1168,551261,756,477382
3.3096,109.498144085804,83.1735916589726,1.425E-06,0,1000000,1210,550093,726,476626
3.3048,109.498144085804,93.2214081009962,1.435E-06,0,1000000,1241,548883,800,475900
3.3,118.490745290918,58.0540505539138,1.445E-06,0,1000000,1273,547642,785,475100
3.2952,117.961768749441,61.9615347258118,1.455E-06,0,1000000,1199,546369,774,474315
3.2904,113.994444688361,74.2421992660628,1.465E-06,0,1000000,1194,545170,772,473541
3.2856,125.896416871601,71.4511391432785,1.475E-06,0,1000000,1218,543976,781,472769
3.2808,111.349561980975,86.5228638063138,1.485E-06,0,1000000,1285,542758,792,471988
3.276,134.889018076715,108.293132764032,1.495E-06,0,1000000,1217,541473,807,471196
3.2712,139.649806950011,109.967768837702,1.505E-06,0,1000000,1230,540256,827,470389
3.2664,143.088154469614,100.478164420235,1.515E-06,0,1000000,1274,539026,848,469562
3.2616,123.251534164214,108.293132764032,1.525E-06,0,1000000,1303,537752,776,468714
3.2568,141.501224845182,91.5467720273256,1.535E-06,0,1000000,1299,536449,835,467938
3.252,141.76571311592,99.9199523956785,1.545E-06,0,1000000,1241,535150,800,467103
3.2472,137.269412513363,103.827436567577,1.555E-06,0,1000000,1298,533909,790,466303
3.2424,148.377919884387,127.272341598965,1.565E-06,0,1000000,1283,532611,829,465513
3.2376,157.370521089501,112.758828960486,1.575E-06,0,1000000,1286,531328,783,464684
3.2328,158.692962443194,113.8752530096,1.585E-06,0,1000000,1239,530042,826,463901
3.228,174.826746958252,98.245316322008,1.595E-06,0,1000000,1273,528803,840,463075
3.2232,167.950051919047,114.433465034157,1.605E-06,0,1000000,1272,527530,878,462235
3.2184,180.645488914503,118.340949206055,1.615E-06,0,1000000,1347,526258,815,461357
3.2136,177.471629665639,123.364857427067,1.625E-06,0,1000000,1278,524911,866,460542
3.2088,202.069038844334,123.923069451624,1.635E-06,0,1000000,1348,523633,845,459676
3.204,196.779273429561,146.251550433898,1.645E-06,0,1000000,1334,522285,863,458831
3.1992,207.623292529846,144.576914360228,1.655E-06,0,1000000,1279,520951,868,457968
3.1944,203.655968468766,140.66943018833,1.665E-06,0,1000000,1312,519672,873,457100
3.1896,221.112194337517,112.20061693593,1.675E-06,0,1000000,1367,518360,918,456227
3.1848,229.311330730416,146.809762458455,1.685E-06,0,1000000,1343,516993,883,455309
3.18,227.988889376723,141.227642212886,1.695E-06,0,1000000,1331,515650,853,454426
3.1752,220.58321779604,137.320158040988,1.705E-06,0,1000000,1362,514319,913,453573
3.1704,219.525264713085,151.833670679467,1.715E-06,0,1000000,1374,512957,861,452660
3.1656,238.30393193553,130.063401721749,1.725E-06,0,1000000,1406,511583,875,451799
3.1608,266.339688633828,148.484398532126,1.735E-06,0,1000000,1399,510177,879,450924
3.156,251.263857201724,176.953211784526,1.745E-06,0,1000000,1313,508778,921,450045
3.1512,229.046842459677,180.860695956424,1.755E-06,0,1000000,1364,507465,906,449124
3.1464,257.082599157975,156.299366875922,1.765E-06,0,1000000,1410,506101,949,448218
3.1416,235.130072686666,172.487515588071,1.775E-06,0,1000000,1411,504691,892,447269
3.1368,269.513547882692,197.048844668573,1.785E-06,0,1000000,1425,503280,964,446377
