#Table:,,15eV,15eV,15eV,15eV,15eV,,10eV,10eV,10eV,10eV,10eV
# E(MeV) ,,0mTorr,2mTorr Refl,2mTorr,9.5mTorr Refl,9.5mTorr,,0mTorr,2mTorr Refl,2mTorr,10mTorr Refl,10mTorr
1.895E-06,,10000,9728,8241,8096,4447,,10000,9563,7108,8573,2906
1.905E-06,,10000,9727,8239,8086,4442,,10000,9562,7106,8562,2903
1.915E-06,,10000,9726,8235,8072,4438,,10000,9561,7105,8554,2899
1.925E-06,,10000,9724,8234,8056,4432,,10000,9559,7104,8548,2897
1.935E-06,,10000,9723,8234,8048,4422,,10000,9556,7104,8538,2895
1.945E-06,,10000,9721,8231,8036,4419,,10000,9554,7103,8529,2892
1.955E-06,,10000,9718,8231,8019,4418,,10000,9554,7103,8525,2890
1.965E-06,,10000,9716,8230,8006,4416,,10000,9552,7102,8516,2887
1.975E-06,,10000,9713,8230,7991,4414,,10000,9551,7100,8507,2884
1.985E-06,,10000,9711,8228,7980,4409,,10000,9551,7099,8497,2881
1.995E-06,,10000,9708,8225,7967,4405,,10000,9551,7099,8489,2877
2.005E-06,,10000,9706,8223,7955,4402,,10000,9549,7098,8480,2873
2.015E-06,,10000,9705,8223,7948,4395,,10000,9547,7096,8476,2870
2.025E-06,,10000,9704,8223,7935,4393,,10000,9543,7093,8470,2865
2.035E-06,,10000,9702,8221,7925,4386,,10000,9542,7093,8462,2861
2.045E-06,,10000,9699,8215,7909,4383,,10000,9540,7091,8457,2858
2.055E-06,,10000,9699,8212,7893,4380,,10000,9540,7091,8448,2857
2.065E-06,,10000,9697,8212,7886,4376,,10000,9539,7089,8442,2856
2.075E-06,,10000,9696,8212,7869,4373,,10000,9537,7087,8437,2852
2.085E-06,,10000,9693,8212,7855,4370,,10000,9535,7084,8431,2849
2.095E-06,,10000,9691,8211,7844,4365,,10000,9534,7083,8424,2847
2.105E-06,,10000,9689,8210,7831,4360,,10000,9530,7082,8417,2843
2.115E-06,,10000,9689,8208,7822,4357,,10000,9529,7081,8412,2841
2.125E-06,,10000,9688,8206,7808,4352,,10000,9529,7080,8409,2840
2.135E-06,,10000,9684,8202,7800,4346,,10000,9528,7078,8401,2838
2.145E-06,,10000,9684,8200,7789,4343,,10000,9524,7077,8390,2837
