# ,P=0mTorr,P=2mTorr,P=10mTorr
# Energy (eV),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
3.3384,80.9334108460291,66.4272309222667,28.1666666666667
3.3336,85.9586879900636,66.9854429468236,22.75
3.3288,92.57089475853,58.6122625784707,22.75
3.324,97.5961719025645,55.2629904311295,24.9166666666667
3.3192,109.233655815065,66.4272309222667,33.5833333333333
3.3144,92.8353830292687,88.1974998799844,31.4166666666667
3.3096,109.498144085804,83.1735916589726,26
3.3048,109.498144085804,93.2214081009962,41.1666666666667
3.3,118.490745290918,58.0540505539138,31.4166666666667
3.2952,117.961768749441,61.9615347258118,26
3.2904,113.994444688361,74.2421992660628,35.75
3.2856,125.896416871601,71.4511391432785,23.8333333333333
3.2808,111.349561980975,86.5228638063138,19.5
3.276,134.889018076715,108.293132764032,41.1666666666667
3.2712,139.649806950011,109.967768837702,30.3333333333333
3.2664,143.088154469614,100.478164420235,37.9166666666667
