 # E(eV),02_0.5_RA,02_0.5_RR,02_1.0_RA,02_1.0_RR,,E,07_0.5_RA,07_0.5_RR,07_1.0_RA,07_1.0_RR,,E,10_0.5_RA,10_0.5_RR,10_1.0_RA,10_1.0_RR,,E,20_0.5_RA,20_1.0_RA,20_0.5_RR,20_1.0_RR
1.305,351541,191795,72496,28669,,1.305,869158,716108,618419,378339,,1.305,928813,822027,760444,529626,,1.305,1029500,996567,919419,722794
1.315,348939,190239,71736,28339,,1.315,868742,715583,617783,377890,,1.315,928578,821717,759998,529288,,1.315,1029390,996371,919253,722593
1.325,346259,188719,70941,28022,,1.325,868273,715059,617157,377451,,1.325,928334,821414,759556,528934,,1.325,1029290,996156,919088,722360
1.335,343722,187141,70148,27710,,1.335,867855,714545,616543,377018,,1.335,928076,821084,759154,528588,,1.335,1029200,995949,918945,722117
1.345,341061,185547,69349,27389,,1.345,867397,714019,615964,376543,,1.345,927805,820750,758759,528234,,1.345,1029100,995718,918788,721889
1.355,338313,183944,68596,27052,,1.355,866966,713501,615351,376093,,1.355,927531,820399,758348,527892,,1.355,1029010,995508,918643,721681
1.365,335608,182351,67838,26738,,1.365,866498,712996,614698,375671,,1.365,927271,820055,757935,527539,,1.365,1028930,995283,918522,721466
1.375,332810,180735,67061,26383,,1.375,866030,712489,614065,375249,,1.375,927040,819733,757527,527170,,1.375,1028840,995064,918385,721247
1.385,329976,179154,66302,26062,,1.385,865596,711967,613442,374829,,1.385,926820,819433,757094,526814,,1.385,1028740,994840,918213,721029
1.395,327197,177499,65557,25738,,1.395,865134,711492,612869,374382,,1.395,926569,819107,756682,526444,,1.395,1028660,994615,918075,720801
1.405,324421,175839,64766,25436,,1.405,864658,710999,612236,373915,,1.405,926331,818803,756273,526059,,1.405,1028570,994397,917949,720593
1.415,321724,174153,63965,25135,,1.415,864161,710476,611560,373489,,1.415,926082,818468,755855,525712,,1.415,1028470,994173,917789,720352
1.425,318922,172504,63183,24825,,1.425,863674,709966,610973,373052,,1.425,925835,818127,755433,525353,,1.425,1028350,993953,917640,720128
1.435,315969,170868,62388,24508,,1.435,863205,709475,610340,372673,,1.435,925605,817811,755000,524991,,1.435,1028250,993725,917474,719911
1.445,313005,169124,61604,24191,,1.445,862739,708973,609732,372209,,1.445,925358,817512,754578,524629,,1.445,1028160,993512,917314,719718
