 # E(eV),fuente sin integrar,fuente, salida fuente distr 10 ,Salida fuente monoE
6.185,0,10000000,3382880,3394900
6.195,0,10000000,3378140,3390180
6.205,0,10000000,3373520,3385600
6.215,0,10000000,3368930,3380970
6.225,0,10000000,3364290,3376350
6.235,0,10000000,3359670,3371670
6.245,0,10000000,3355050,3366980
6.255,0,10000000,3350270,3362320
6.265,0,10000000,3345640,3357720
6.275,0,10000000,3341030,3352920
6.285,0,10000000,3336390,3348240
6.295,0,10000000,3331730,3343430
6.305,0,10000000,3327010,3338650
6.315,0,10000000,3322270,3333960
6.325,0,10000000,3317390,3329180
6.335,0,10000000,3312680,3324380
6.345,0,10000000,3307970,3319670
6.355,0,10000000,3303160,3314940
6.365,0,10000000,3298380,3310170
6.375,0,10000000,3293490,3305290
6.385,0,10000000,3288780,3300550
6.395,0,10000000,3283920,3295660
6.405,0,10000000,3279000,3290900
6.415,0,10000000,3274170,3286140
6.425,0,10000000,3269370,3281370
6.435,0,10000000,3264540,3276610
6.445,0,10000000,3259690,3271800
6.455,0,10000000,3254840,3267000
6.465,0,10000000,3249940,3262100
6.475,0,10000000,3244970,3257260
6.485,0,10000000,3240150,3252400
6.495,0,10000000,3235260,3247430
6.505,0,10000000,3230390,3242600
6.515,0,10000000,3225490,3237730
6.525,0,10000000,3220580,3232900
6.535,0,10000000,3215760,3227970
6.545,0,10000000,3210840,3223020
6.555,0,10000000,3206020,3218260
6.565,0,10000000,3201190,3213350
6.575,0,10000000,3196220,3208420
6.585,0,10000000,3191200,3203530
6.595,0,10000000,3186160,3198600
6.605,0,10000000,3181150,3193660
6.615,0,10000000,3176140,3188700
6.625,0,10000000,3171210,3183680
6.635,0,10000000,3166060,3178830
6.645,0,10000000,3160980,3173960
6.655,0,10000000,3155970,3168980
6.665,0,10000000,3151090,3163990
6.675,0,10000000,3146180,3159150
6.685,0,10000000,3141060,3154050
6.695,0,10000000,3136000,3148980
6.705,0,10000000,3131030,3143970
6.715,0,10000000,3126020,3138990
6.725,0,10000000,3121060,3133920
6.735,0,10000000,3116040,3128930
6.745,0,10000000,3110950,3123800
6.755,0,10000000,3105740,3118820
6.765,0,10000000,3100550,3113710
6.775,0,10000000,3095460,3108620
6.785,0,10000000,3090160,3103480
6.795,0,10000000,3085020,3098350
6.805,0,10000000,3079760,3093170
6.815,0,10000000,3074620,3088180
6.825,0,10000000,3069500,3083020
6.835,0,10000000,3064140,3077950
6.845,0,10000000,3058950,3072880
6.855,0,10000000,3053780,3067750
6.865,0,10000000,3048610,3062560
6.875,0,10000000,3043520,3057320
6.885,0,10000000,3038350,3052200
6.895,0,10000000,3033160,3047020
6.905,0,10000000,3027810,3041800
6.915,0,10000000,3022390,3036640
6.925,0,10000000,3017160,3031490
6.935,0,10000000,3011940,3026340
6.945,0,10000000,3006780,3021080
6.955,0,10000000,3001470,3015780
6.965,0,10000000,2996100,3010590
6.975,0,10000000,2990800,3005320
6.985,0,10000000,2985480,3000150
6.995,0,10000000,2980170,2994880
7.005,0,10000000,2974920,2989550
7.015,0,10000000,2969670,2984350
7.025,0,10000000,2964260,2978970
7.035,0,10000000,2958900,2973710
7.045,0,10000000,2953590,2968220
7.055,0,10000000,2948310,2962860
7.065,0,10000000,2942870,2957340
