"# P=5mTorr,SMF",,,,
 # E(MeV) ,   Iforward,   Ibackward,Iforward (old),Ibackward (old)
3.245E-06,444735,53950,445877,54004
3.255E-06,444032,53849,445187,53894
3.265E-06,443303,53742,444486,53788
3.275E-06,442580,53640,443765,53685
3.285E-06,441850,53540,443064,53591
3.295E-06,441117,53435,442330,53495
3.305E-06,440403,53324,441623,53360
3.315E-06,439698,53190,440921,53246
3.325E-06,439030,53090,440224,53157
3.335E-06,438333,52969,439573,53043
3.345E-06,437606,52882,438863,52938
3.355E-06,436903,52753,438136,52826
3.365E-06,436262,52649,437464,52725
3.375E-06,435608,52561,436787,52631
3.385E-06,434938,52467,436131,52534
3.395E-06,434226,52366,435446,52437
3.405E-06,433542,52260,434771,52331
3.415E-06,432846,52155,434110,52227
3.425E-06,432154,52050,433439,52103
3.435E-06,431503,51959,432821,52007
3.445E-06,430903,51862,432221,51907
3.455E-06,430272,51764,431562,51799
3.465E-06,429591,51651,430910,51681
3.475E-06,428994,51561,430283,51591
3.485E-06,428373,51487,429641,51507
3.495E-06,427737,51382,428988,51401
3.505E-06,427103,51271,428371,51294
3.515E-06,426497,51167,427759,51199
3.525E-06,425910,51070,427142,51101
3.535E-06,425288,50980,426533,51007
3.545E-06,424703,50894,425910,50927
3.555E-06,424109,50795,425336,50850
3.565E-06,423517,50713,424725,50768
3.575E-06,422930,50617,424136,50684
3.585E-06,422353,50529,423588,50596
3.595E-06,421797,50441,422973,50500
3.605E-06,421267,50356,422435,50422
3.615E-06,420688,50275,421857,50333
3.625E-06,420145,50180,421310,50230
3.635E-06,419572,50091,420774,50136
3.645E-06,419030,50006,420234,50048
3.655E-06,418489,49933,419673,49955
3.665E-06,417991,49858,419181,49877
3.675E-06,417488,49783,418639,49806
3.685E-06,416949,49712,418095,49745
3.695E-06,416399,49629,417574,49674
3.705E-06,415939,49566,417057,49589
3.715E-06,415439,49473,416531,49504
3.725E-06,414925,49384,415967,49425
3.735E-06,414391,49306,415433,49341
3.745E-06,413886,49214,414954,49242
3.755E-06,413399,49110,414431,49161
3.765E-06,412902,49022,413923,49077
3.775E-06,412433,48940,413433,49007
3.785E-06,411922,48864,412937,48923
3.795E-06,411460,48798,412438,48860
3.805E-06,411009,48720,412008,48780
3.815E-06,410490,48646,411485,48698
