#P=2mTorr,,P=5mTorr,
#Energy(eV),Intensity(a.u.),Energy(eV),Intensity(a.u.)
14.4932,611.145,14.6032,188.48
14.4884,645.165,14.5984,200.26
14.4836,637.6725,14.5936,193.13
14.4788,607.095,14.5888,204.6
14.474,602.235,14.584,205.84
14.4692,594.54,14.5792,193.44
14.4644,638.28,14.5744,222.27
14.4596,631.8,14.5696,217.31
14.4548,666.63,14.5648,220.1
14.45,618.2325,14.56,213.59
14.4452,634.4325,14.5552,228.78
14.4404,620.6625,14.5504,238.39
14.4356,665.82,14.5456,221.03
14.4308,689.1075,14.5408,213.28
14.426,703.08,14.536,192.82
14.4212,648.81,14.5312,215.45
14.4164,674.73,14.5264,201.5
14.4116,675.3375,14.5216,227.23
14.4068,697.815,14.5168,223.51
14.402,703.2825,14.512,234.67
14.3972,696.195,14.5072,210.49
14.3924,687.0825,14.5024,232.19
14.3876,667.035,14.4976,219.17
14.3828,704.9025,14.4928,206.46
14.378,684.855,14.488,224.44
14.3732,676.1475,14.4832,224.75
14.3684,698.22,14.4784,217.93
14.3636,704.9025,14.4736,225.06
14.3588,754.7175,14.4688,226.92
14.354,694.575,14.464,238.39
14.3492,741.96,14.4592,231.26
14.3444,746.415,14.4544,233.12
14.3396,763.425,14.4496,242.73
14.3348,732.8475,14.4448,232.19
14.33,727.9875,14.44,260.4
14.3252,757.1475,14.4352,234.36
14.3204,767.6775,14.4304,235.91
14.3156,750.465,14.4256,237.15
14.3108,761.805,14.4208,235.91
14.306,769.7025,14.416,247.07
14.3012,748.44,14.4112,230.95
14.2964,743.7825,14.4064,248.31
14.2916,757.755,14.4016,243.66
14.2868,758.3625,14.3968,244.9
14.282,786.7125,14.392,252.34
14.2772,756.7425,14.3872,247.69
14.2724,769.095,14.3824,253.58
14.2676,798.4575,14.3776,233.74
14.2628,818.1,14.3728,252.03
14.258,759.5775,14.368,245.83
14.2532,781.8525,14.3632,245.21
14.2484,767.2725,14.3584,263.81
14.2436,788.94,14.3536,264.12
14.2388,781.4475,14.3488,273.11
14.234,791.1675,14.344,279.31
14.2292,811.8225,14.3392,255.13
14.2244,827.6175,14.3344,268.77
14.2196,824.58,14.3296,261.33
14.2148,818.7075,14.3248,268.77
14.21,830.0475,14.32,280.55
14.2052,853.74,14.3152,268.15
14.2004,853.5375,14.3104,273.11
14.1956,847.4625,14.3056,277.14
14.1908,817.695,14.3008,275.9
14.186,811.62,14.296,255.75
14.1812,801.09,14.2912,283.96
14.1764,813.8475,14.2864,278.38
14.1716,862.4475,14.2816,273.11
14.1668,821.745,14.2768,283.65
14.162,812.2275,14.272,281.48
14.1572,839.97,14.2672,275.59
14.1524,824.3775,14.2624,291.71
14.1476,883.71,14.2576,289.23
14.1428,821.34,14.2528,297.6
14.138,868.32,14.248,276.83
14.1332,877.635,14.2432,271.25
14.1284,838.35,14.2384,314.65
14.1236,826.4025,14.2336,289.54
14.1188,876.6225,14.2288,287.06
14.114,887.76,14.224,256.37
14.1092,848.2725,14.2192,294.19
14.1044,859.005,14.2144,289.85
14.0996,867.105,14.2096,297.91
14.0948,891.6075,14.2048,273.42
14.09,910.035,14.2,314.34
14.0852,878.6475,14.1952,277.76
14.0804,890.7975,14.1904,304.73
14.0756,848.2725,14.1856,304.42
14.0708,893.025,14.1808,296.98
14.066,854.145,14.176,318.37
14.0612,875.61,14.1712,292.33
14.0564,893.6325,14.1664,309.69
