#Table:,P=0,"P=2, SMF","P=5, SMF","P=2, HLX","P=5, HLX"
 #E(MeV),Efw,Efw,Efw,Efw,Efw 
5.025E-06,100000,70843,36808,71682,37556
5.035E-06,100000,70819,36773,71660,37513
5.045E-06,100000,70790,36751,71640,37467
5.055E-06,100000,70759,36728,71616,37417
5.065E-06,100000,70736,36696,71596,37352
5.075E-06,100000,70714,36660,71578,37322
5.085E-06,100000,70693,36632,71556,37294
5.095E-06,100000,70675,36595,71539,37249
5.105E-06,100000,70656,36557,71512,37212
5.115E-06,100000,70630,36525,71486,37168
5.125E-06,100000,70602,36502,71473,37119
5.135E-06,100000,70579,36472,71447,37088
5.145E-06,100000,70562,36444,71411,37043
5.155E-06,100000,70531,36417,71389,37012
5.165E-06,100000,70500,36389,71361,36974
5.175E-06,100000,70469,36348,71339,36941
5.185E-06,100000,70451,36309,71311,36903
5.195E-06,100000,70431,36280,71295,36869
5.205E-06,100000,70406,36248,71266,36829
5.215E-06,100000,70379,36203,71242,36785
5.225E-06,100000,70352,36166,71214,36748
5.235E-06,100000,70328,36130,71188,36708
5.245E-06,100000,70305,36095,71155,36669
5.255E-06,100000,70284,36075,71136,36634
5.265E-06,100000,70261,36054,71110,36597
5.275E-06,100000,70236,36016,71089,36559
5.285E-06,100000,70206,35986,71065,36515
5.295E-06,100000,70185,35955,71034,36465
5.305E-06,100000,70160,35923,71018,36410
5.315E-06,100000,70130,35897,70997,36360
5.325E-06,100000,70100,35867,70970,36331
5.335E-06,100000,70084,35839,70944,36292
5.345E-06,100000,70061,35810,70929,36260
5.355E-06,100000,70032,35775,70903,36223
5.365E-06,100000,70005,35742,70866,36181
5.375E-06,100000,69982,35709,70841,36147
5.385E-06,100000,69960,35678,70824,36113
5.395E-06,100000,69944,35650,70796,36071
5.405E-06,100000,69918,35613,70765,36027
5.415E-06,100000,69889,35576,70740,35985
5.425E-06,100000,69861,35541,70720,35944
5.435E-06,100000,69835,35509,70697,35913
5.445E-06,100000,69808,35473,70670,35879
5.455E-06,100000,69778,35435,70648,35844
5.465E-06,100000,69754,35409,70628,35808
5.475E-06,100000,69727,35374,70607,35785
5.485E-06,100000,69709,35342,70583,35740
5.495E-06,100000,69682,35308,70547,35695
5.505E-06,100000,69653,35284,70519,35656
5.515E-06,100000,69633,35255,70479,35618
5.525E-06,100000,69602,35221,70456,35587
5.535E-06,100000,69590,35196,70435,35552
5.545E-06,100000,69568,35161,70406,35516
5.555E-06,100000,69548,35131,70393,35473
5.565E-06,100000,69528,35098,70371,35440
5.575E-06,100000,69499,35071,70349,35394
5.585E-06,100000,69474,35044,70331,35356
5.595E-06,100000,69454,34999,70295,35321
5.605E-06,100000,69436,34973,70270,35282
5.615E-06,100000,69413,34940,70239,35246
5.625E-06,100000,69383,34913,70212,35192
5.635E-06,100000,69359,34886,70185,35147
5.645E-06,100000,69338,34864,70160,35105
5.655E-06,100000,69309,34836,70143,35070
5.665E-06,100000,69278,34811,70126,35025
5.675E-06,100000,69250,34776,70103,34992
5.685E-06,100000,69215,34741,70070,34951
5.695E-06,100000,69193,34713,70048,34898
5.705E-06,100000,69167,34684,70025,34859
5.715E-06,100000,69144,34661,69999,34824
5.725E-06,100000,69119,34630,69971,34788
5.735E-06,100000,69100,34598,69947,34753
5.745E-06,100000,69073,34567,69914,34711
5.755E-06,100000,69048,34542,69893,34669
5.765E-06,100000,69019,34514,69866,34642
5.775E-06,100000,69001,34477,69846,34608
5.785E-06,100000,68981,34439,69824,34574
5.795E-06,100000,68956,34413,69803,34540
5.805E-06,100000,68932,34377,69780,34506
5.815E-06,100000,68896,34348,69745,34463
5.825E-06,100000,68876,34327,69713,34417
5.835E-06,100000,68849,34308,69686,34384
5.845E-06,100000,68823,34261,69659,34347
5.855E-06,100000,68788,34228,69632,34316
5.865E-06,100000,68749,34196,69611,34271
5.875E-06,100000,68714,34166,69580,34232
5.885E-06,100000,68690,34136,69554,34201
5.895E-06,100000,68666,34101,69531,34159
5.905E-06,100000,68639,34066,69501,34117
5.915E-06,100000,68603,34038,69477,34087
5.925E-06,100000,68568,34008,69456,34052
5.935E-06,100000,68548,33975,69437,34017
5.945E-06,100000,68525,33942,69415,33973
5.955E-06,100000,68501,33907,69397,33930
5.965E-06,100000,68484,33879,69381,33895
5.975E-06,100000,68457,33854,69359,33869
5.985E-06,100000,68425,33825,69328,33839
5.995E-06,100000,68400,33791,69294,33793
6.005E-06,100000,68370,33767,69269,33754
6.015E-06,100000,68348,33743,69243,33717
6.025E-06,100000,68325,33717,69216,33685
6.035E-06,100000,68293,33681,69195,33640
6.045E-06,100000,68276,33653,69171,33602
6.055E-06,100000,68253,33624,69144,33565
6.065E-06,100000,68239,33600,69110,33526
6.075E-06,100000,68212,33559,69084,33488
6.085E-06,100000,68187,33532,69056,33458
6.095E-06,100000,68162,33504,69032,33424
6.105E-06,100000,68130,33480,69011,33388
6.115E-06,100000,68099,33457,68992,33347
6.125E-06,100000,68066,33427,68972,33305
6.135E-06,100000,68042,33397,68949,33274
6.145E-06,100000,68007,33360,68923,33244
6.155E-06,100000,67988,33340,68898,33205
6.165E-06,100000,67963,33315,68877,33176
6.175E-06,100000,67944,33299,68844,33141
6.185E-06,100000,67916,33267,68816,33098
6.195E-06,100000,67901,33239,68793,33063
6.205E-06,100000,67880,33224,68769,33030
6.215E-06,100000,67851,33201,68742,32994
