181 33 KTC
     0.1      0.15      0.2       0.3	    0.4	      0.5	0.7	  1         1.5       2         3         4         5         7	        10	  15        20	      30        40        50        70	      100       150       200       300       400       500	  700       1000      2000      5000      10000		   10e6		   
 47 17        7.56      19.1      53.3      87        106       110       96.3      74.6      59.2      39.1      26.5      22.3      6.38      1.64      0.199     1.05      2.26      2.32      1.96      1.13      0.428     0.212     0.339     0.452     0.352     0.236     0.108     0.061     0.0489    0.0214    0.0133    	   0.0133    	   
 48 17        7.58      18.2      51.2      83.8      102       107       93.6      72.6      57.7      38        25.7      20.5      6.1       1.61      0.182     1.05      2.22      2.25      1.88      1.06      0.398     0.228     0.362     0.456     0.342     0.222     0.0966    0.0564    0.0463    0.0204    0.0125    	   0.0125    	   
 49 17        7.59      17.2      49.1      80.6      98.4      103       91        70.7      56.1      36.9      24.9      18.9      5.84      1.6       0.167     1.04      2.18      2.18      1.8       0.991     0.373     0.243     0.383     0.458     0.33      0.207     0.0862    0.0527    0.0444    0.0198    0.012     	   0.012     	   
 50 17        7.6       16.4      47        77.4      94.9      100       88.3      68.7      54.5      35.8      24.1      17.3      5.59      1.59      0.153     1.04      2.13      2.1       1.71      0.926     0.35      0.258     0.4       0.455     0.315     0.191     0.0756    0.049     0.0423    0.019     0.0113    	   0.0113    	   
 51 17        7.61      15.5      44.9      74.3      91.4      96.7      85.7      66.7      53        34.7      23.3      15.9      5.37      1.59      0.142     1.02      2.08      2.02      1.63      0.863     0.33      0.272     0.415     0.448     0.299     0.174     0.0658    0.0462    0.0406    0.0185    0.0109    	   0.0109    	   
 52 17        7.61      14.6      42.9      71.2      88        93.5      83        64.8      51.4      33.6      22.5      14.5      5.15      1.61      0.133     1.01      2.02      1.93      1.54      0.803     0.313     0.285     0.426     0.438     0.28      0.156     0.0561    0.0435    0.0388    0.0178    0.0102    	   0.0102    	   
 53 17        7.62      13.8      41        68.2      84.6      90.3      80.4      62.8      49.9      32.6      21.7      13.3      4.96      1.63      0.126     0.99      1.95      1.84      1.45      0.744     0.297     0.297     0.433     0.425     0.26      0.138     0.0474    0.0414    0.0372    0.0173    0.00979   	   0.00979   	   
 54 17        7.62      13        39        65.2      81.2      87.1      77.8      60.9      48.3      31.5      21        12.1      4.79      1.66      0.122     0.968     1.87      1.75      1.37      0.689     0.283     0.306     0.437     0.408     0.238     0.121     0.0393    0.0397    0.0356    0.0167    0.00932   	   0.00932   	   
 55 17        7.63      12.2      37.1      62.3      77.9      83.9      75.2      59        46.8      30.5      20.3      11        4.63      1.7       0.119     0.943     1.8       1.66      1.28      0.635     0.27      0.314     0.437     0.388     0.216     0.103     0.0321    0.0383    0.034     0.0162    0.00889   	   0.00889   	   
 56 17        7.63      11.5      35.3      59.4      74.7      80.8      72.6      57.1      45.3      29.5      19.5      10.1      4.49      1.75      0.119     0.915     1.72      1.57      1.19      0.583     0.259     0.32      0.434     0.367     0.193     0.0861    0.0261    0.0375    0.0325    0.0156    0.0085    	   0.0085    	   
 57 17        7.63      10.8      33.4      56.6      71.5      77.7      70.1      55.2      43.8      28.5      18.8      9.19      4.37      1.8       0.122     0.885     1.63      1.47      1.11      0.534     0.249     0.325     0.428     0.343     0.17      0.0699    0.021     0.0368    0.031     0.0152    0.00811   	   0.00811   	   
 58 17        7.63      10.1      31.7      53.9      68.3      74.6      67.6      53.3      42.3      27.5      18.2      8.41      4.26      1.87      0.127     0.853     1.54      1.37      1.02      0.488     0.239     0.327     0.419     0.318     0.148     0.0552    0.0173    0.0368    0.0296    0.0147    0.00772   	   0.00772   	   
 59 17        7.63      9.42      29.9      51.2      65.2      71.6      65.1      51.5      40.9      26.5      17.5      7.72      4.18      1.94      0.136     0.82      1.45      1.28      0.938     0.443     0.231     0.328     0.407     0.291     0.126     0.0416    0.0146    0.0371    0.0282    0.0144    0.00739   	   0.00739   	   
 60 17        7.63      8.79      28.3      48.6      62.2      68.7      62.6      49.6      39.4      25.5      16.8      7.12      4.11      2.02      0.147     0.786     1.36      1.18      0.856     0.401     0.224     0.327     0.393     0.264     0.105     0.0298    0.0132    0.0377    0.0269    0.014     0.00703   	   0.00703   	   
 61 17        7.62      8.19      26.6      46.1      59.3      65.7      60.2      47.8      38        24.6      16.2      6.61      4.06      2.1       0.161     0.751     1.27      1.08      0.778     0.362     0.218     0.324     0.376     0.237     0.0852    0.0198    0.0129    0.0387    0.0256    0.0137    0.00674   	   0.00674   	   
