         x(mm) ,           EdepX ,   EdepX UnkNown ,        EdepX e- ,        EdepX e+ ,  Transportation ,         Elastic ,      ExcitRotat ,     ExcitVibrat ,      Excitation ,     DissocNeutr ,            Ioni ,      Attachment ,    Annihilation ,     Positronium ,
        0.004655 ,         13498.8 ,               0 ,         7153.79 ,         6345.03 ,               0 ,           72153 ,          132697 ,            2390 ,              71 ,             254 ,             459 ,              30 ,               0 ,               7 ,
        0.004665 ,         10489.4 ,               0 ,         5687.82 ,         4801.58 ,               0 ,           68289 ,          124430 ,            2163 ,              43 ,             188 ,             341 ,              25 ,               0 ,               2 ,
        0.004675 ,         14782.1 ,               0 ,          7328.8 ,         7453.32 ,               0 ,           71816 ,          127200 ,            2368 ,              65 ,             267 ,             465 ,              21 ,               0 ,              11 ,
        0.004685 ,         9838.48 ,               0 ,         4848.23 ,         4990.25 ,               0 ,           51208 ,           92000 ,            1619 ,              46 ,             203 ,             291 ,              20 ,               0 ,               7 ,
        0.004695 ,         8618.17 ,               0 ,         4490.09 ,         4128.08 ,               0 ,           45615 ,           84486 ,            1432 ,              28 ,             152 ,             291 ,              16 ,               0 ,               3 ,
        0.004705 ,         7546.01 ,               0 ,         3754.11 ,          3791.9 ,               0 ,           41824 ,           76917 ,            1306 ,              39 ,             137 ,             249 ,              19 ,               0 ,               3 ,
        0.004715 ,         8044.26 ,               0 ,         4068.35 ,         3975.91 ,               0 ,           39930 ,           74274 ,            1230 ,              46 ,             155 ,             243 ,              11 ,               0 ,               3 ,
        0.004725 ,         8673.91 ,               0 ,         4171.32 ,         4502.59 ,               0 ,           43811 ,           79784 ,            1449 ,              44 ,             150 ,             302 ,              11 ,               0 ,              10 ,
        0.004735 ,         5982.41 ,               0 ,         3058.68 ,         2923.73 ,               0 ,           31154 ,           55882 ,            1079 ,              26 ,             112 ,             176 ,               7 ,               0 ,               4 ,
        0.004745 ,            4925 ,               0 ,         2471.78 ,         2453.22 ,               0 ,           26993 ,           49484 ,             892 ,              28 ,              91 ,             161 ,               5 ,               0 ,               3 ,
        0.004755 ,         4615.54 ,               0 ,         2679.11 ,         1936.43 ,               0 ,           26221 ,           47578 ,             836 ,              29 ,              87 ,             161 ,              10 ,               0 ,               0 ,
        0.004765 ,         4466.03 ,               0 ,         2197.06 ,         2268.97 ,               0 ,           23538 ,           42947 ,             754 ,              15 ,              88 ,             143 ,              10 ,               0 ,               1 ,
        0.004775 ,         4784.49 ,               0 ,         2090.96 ,         2693.53 ,               0 ,           19589 ,           35511 ,             671 ,              19 ,              75 ,             115 ,              10 ,               0 ,               2 ,
        0.004785 ,         2577.18 ,               0 ,         1259.06 ,         1318.13 ,               0 ,           13606 ,           24971 ,             470 ,              16 ,              54 ,              86 ,               6 ,               0 ,               0 ,
        0.004795 ,         2228.81 ,               0 ,         993.287 ,         1235.52 ,               0 ,           11891 ,           21757 ,             388 ,               6 ,              31 ,              65 ,               7 ,               0 ,               2 ,
        0.004805 ,         2424.74 ,               0 ,         1410.46 ,         1014.28 ,               0 ,           12303 ,           22394 ,             402 ,              10 ,              44 ,              79 ,               3 ,               0 ,               2 ,
        0.004815 ,         2128.68 ,               0 ,         1146.84 ,          981.85 ,               0 ,           12562 ,           22911 ,             385 ,               7 ,              44 ,              69 ,               4 ,               0 ,               1 ,
        0.004825 ,         2600.82 ,               0 ,         1196.49 ,         1404.33 ,               0 ,           13846 ,           24699 ,             423 ,              17 ,              45 ,              87 ,               4 ,               1 ,               1 ,
        0.004835 ,         2043.03 ,               0 ,         1100.06 ,         942.965 ,               0 ,           12787 ,           23883 ,             387 ,              10 ,              36 ,              74 ,               3 ,               0 ,               0 ,
