#Energy(eV),Intensity(a.u.)0mTorr,Intensity(a.u.)2mTorr,Intensity(a.u.)9.5mTorr, #E(MeV) ,0mTorr,2mTorr,9.5mTorr
15.2632,540.75,320.333333333333,35.2,3.395E-06,100000,88853,33791
15.2584,578.25,328.333333333333,36.6,3.405E-06,100000,88831,33745
15.2536,574,334.166666666667,37.6,3.415E-06,100000,88818,33712
15.2488,589.375,344,41.8,3.425E-06,100000,88787,33679
15.244,584.125,330,43.4,3.435E-06,100000,88773,33649
15.2392,612.125,340.5,41.4,3.445E-06,100000,88760,33622
15.2344,635,353.5,36.2,3.455E-06,100000,88742,33593
15.2296,629,360.166666666667,43.4,3.465E-06,100000,88720,33553
15.2248,646.375,391.666666666667,45.6,3.475E-06,100000,88707,33519
15.22,659.875,372,42.2,3.485E-06,100000,88686,33491
15.2152,684.25,398,43,3.495E-06,100000,88663,33458
15.2104,673.5,394.166666666667,47,3.505E-06,100000,88646,33418
15.2056,707.5,397,47.2,3.515E-06,100000,88624,33393
15.2008,700.125,392.333333333333,40,3.525E-06,100000,88614,33363
15.196,738.25,432.166666666667,55.2,3.535E-06,100000,88594,33333
15.1912,737.25,446,43,3.545E-06,100000,88575,33299
15.1864,740.5,431.333333333333,54.6,3.555E-06,100000,88554,33265
15.1816,747,436.5,47,3.565E-06,100000,88536,33229
15.1768,784.125,449.333333333333,54.6,3.575E-06,100000,88519,33192
15.172,811.75,454.666666666667,57.2,3.585E-06,100000,88504,33153
15.1672,816.875,472.333333333333,54.4,3.595E-06,100000,88494,33117
15.1624,841.5,451.666666666667,55,3.605E-06,100000,88474,33089
15.1576,853.875,465.666666666667,52.2,3.615E-06,100000,88457,33061
15.1528,870.375,475.666666666667,51.8,3.625E-06,100000,88443,33031
15.148,892.25,491,61.4,3.635E-06,100000,88419,33000
15.1432,883.5,491.666666666667,57.6,3.645E-06,100000,88402,32959
15.1384,933.5,502,61.2,3.655E-06,100000,88382,32933
15.1336,952.25,515.666666666667,59.6,3.665E-06,100000,88360,32907
15.1288,973.25,515.333333333333,57.2,3.675E-06,100000,88339,32881
15.124,1000,510,59.4,3.685E-06,100000,88318,32849
15.1192,1002.5,532.333333333333,64.6,3.695E-06,100000,88298,32826
15.1144,1021.375,539,63.8,3.705E-06,100000,88281,32799
15.1096,1017.125,562.666666666667,68.2,3.715E-06,100000,88254,32775
15.1048,1048.25,565.833333333333,66.8,3.725E-06,100000,88228,32749
15.1,1057.875,566.333333333333,62,3.735E-06,100000,88220,32713
15.0952,1104,599.5,67.8,3.745E-06,100000,88204,32679
15.0904,1074,580.333333333333,72.2,3.755E-06,100000,88182,32647
15.0856,1109.25,611.5,62.4,3.765E-06,100000,88161,32621
15.0808,1138.625,613.166666666667,80.2,3.775E-06,100000,88133,32590
15.076,1150.375,650.666666666667,80.2,3.785E-06,100000,88115,32560
15.0712,1178.875,623.666666666667,71.2,3.795E-06,100000,88096,32529
15.0664,1189.875,653.166666666667,78,3.805E-06,100000,88077,32501
