
#A            B        C         D        E           F               G               H               I
#E(keV)     el0   el20     el40      el60    el100       el20s           el40s           el60s          el100s
	       
 194.5   245024   9030     2354       810      528       21459           18014           14143            8885
 195.5   240644   9143     2542       805      463       20645           16869           14167            8926
 196.5   243273   9430     2447       761      502       20736           17233           13992            8940
 197.5   246214   8800     2370       992      360       20874           17281           14066            8951
 198.5   241512   9030     2254       902      405       20014           17223           13590            8742
 199.5   245726   9190     2462       770      371       19850           17111           13993            9432
 200.5   240527   8992     2314       684      393       21065           16844           13748            9045
 201.5   244328   9302     2207       814      375       20631           17085           13688            8657
 202.5   244347   9030     2193       935      466       21202           16728           14540            8787
 203.5   242080   8980     2241       710      379       20757           17434           13697            8614
 204.5   240979   9154     2318       698      365       20134           17236           14259            8225
 205.5   243609   9933     2313       739      363       19920           16844           13556            8493
 206.5   244412   9140     2588       753      435       20778           16060           13624            8646
 207.5   240844   9230     2711       703      300       20964           17228           13662            7960
 208.5   246580   9750     2438       855      379       20328           16130           13947            8259
 209.5   240229   9380     2381       790      478       20317           16605           13779            8901
 210.5   247287   9990     2163       744      277       20106           17007           14013            8700
 211.5   238370   9921     2319       779      347       20265           17001           13720            8392
 212.5   241322   9560     2472       654      366       19311           16353           13514            8476
 213.5   239368   9657     2411       643      482       20520           17655           13142            8136
 214.5   238666   9590     2267       758      430       19516           16547           13707            8322
 215.5   239356   9763     2492       692      413       21493           16197           12979            8856
 216.5   239630   9530     2368       912      304       20255           16953           14199            8469
 217.5   238560   9800     2448       613      358       20213           16323           13514            8512
 218.5   233746  10060     2403       741      347       20397           15568           12935            8233
 219.5   237557  10080     2367       674      406       19882           16422           13901            7932
 220.5   243173  10220     2232       947      534       19797           16478           12638            7894
 221.5   239807   9880     2364       837      386       20085           16015           13628            8183
 222.5   235258  10250     2520       795      353       20249           16471           12734            8082
 223.5   234260  10330     2620       615      331       20590           16205           13607            8470
 224.5   239695  10160     2265       790      402       19464           16384           13409            7942
 225.5   235431  10520     2462       879      411       20007           17266           13395            7782
 226.5   240458  10300     2710       864      266       20434           16126           13116            8030
 227.5   238247  10474     2477       721      338       20691           16203           12514            7784
 228.5   233451  10200     2284       695      364       20213           16396           13609            8114
 229.5   238463  10890     2239       806      245       19325           16644           13710            8132
 230.5   234938  10460     2464       721      374       19580           16741           13721            7862
 231.5   232892  11041     2380       683      231       20218           16131           12887            7931
 232.5   239781   9910     2354       716      300       19882           16638           13439            7945
 233.5   239691  10630     2748       614      331       20351           15471           12828            8010
 234.5   235917  11090     2436       709      274       19626           16792           12887            7664
 235.5   230204  10341     2542       636      333       19942           15056           13121            7630
 236.5   235595  10420     2231       754      290       19165           15482           12543            7676
 237.5   229742  10750     2290       782      417       19548           15306           12935            7672
 238.5   231560  10550     2474       941      245       19394           16598           12781            8121
 239.5   233811  11460     2435       682      336       19662           15591           13017            7482
 240.5   235679  10660     2383       715      263       19383           15383           12894            7330
 241.5   229416  11490     2592       768      339       19833           16077           12503            7376
 242.5   229592  10910     2489       674      255       18783           15536           12772            7766
 243.5   236704  11060     2487       703      317       19160           16240           13091            7580
 244.5   229961  10860     2812       654      283       19090           15820           13407            7433
 245.5   233153  11300     2512       836      243       19252           16046           12117            7531
 246.5   231641  10631     2603       784      380       18975           15681           12675            7775
 247.5   238897  11081     2433       653      374       19287           15783           12626            7486
 248.5   225467  10551     2718       635      236       18869           15810           12180            7107
 249.5   229993  10940     2358       784      222       18710           16119           12261            7662
 250.5   229972  11391     2686       677      247       19029           15756           12335            7063
 251.5   231139  11080     2462       645      240       19560           15586           12382            7272
 252.5   228453  11263     2791       664      305       19604           15008           12289            7474
 253.5   230782  10970     2599       831      271       18806           15644           12992            7074
 254.5   231280  11070     2661       795      252       18540           15716           12486            7181
 255.5   224446  11200     2638       731      248       18883           14952           12784            7292
 256.5   226051  11820     2410       706      234       18672           15405           12884            6954
 257.5   223066  11530     2293       611      270       18479           15603           12383            7363
 258.5   227191  10970     2559       559      188       18372           14972           12128            6981
 259.5   221888  11060     2569       471      208       18942           15247           12229            6960
 260.5   224244  11641     2562       647      193       18644           14864           12121            7167
 261.5   226538  12140     2511       618      281       18144           15418           11897            6800
 262.5   223802  11750     2706       611      289       18448           14924           12031            6902
 263.5   224155  11690     2768       608      155       18679           14835           11400            6742
 264.5   221582  11530     2508       661      144       17874           14949           12278            6972
 265.5   229042  11272     2536       792      262       18698           14398           12560            7412
 266.5   226499  11770     2563       608      229       18557           14698           11985            6452
 267.5   219093  11214     2512       833      205       18809           14751           12065            7123
 268.5   222590  11921     2678       520      188       17477           15036           11915            6702
 269.5   221903  11580     2672       782      242       18328           15174           11786            6708
 270.5   223113  11663     2623       713      203       18688           15354           11712            6665
 271.5   226459  12100     2471       573      232       18343           14728           11676            6633
 272.5   218555  11950     2553       759      213       18263           15237           12110            6764
 273.5   221303  11730     2298       650      152       18565           15388           11231            6555
