
#set lw 2
#plot 'e20.txt' u 1:2 w li ti 'SinAbsorb', 'e20.txt' u 1:3 w li ti 'G4 MSC', 'e20.txt' u 1:4 w li ti 'G4 SingleSC', 'e20.txt' u 1:5 w li ti 'LEPTS'
		    
#E(keV)       el0     el20        el20s         el20lpt
       		   
 296.5        20275  11750        16541          16233
 297.5        20257  11830        17006          19424
 298.5        20270  12180        17019          17810
 299.5        20543  12630        17467          18586
 300.5        20274  12120        16793          20019
 301.5        20345  11567        17445          17766
 302.5        20320  11370        17609          20414
 303.5        20445  11901        16640          18390
 304.5        19913  11407        17099          19634
 305.5        20729  11470        16924          17424
 306.5        20056  12723        16457          18848
 307.5        19908  12191        15822          16857
 308.5        19768  11770        16595          16544
 309.5        20174  12250        16543          18866
 310.5        19943  11920        16086          17522
 311.5        19443  12050        16460          18824
 312.5        20212  11650        17034          18320
 313.5        19660  11420        15682          18197
 314.5        19720  12760        15667          16050
 315.5        19551  12030        15483          19776
 316.5        19318  12250        15450          17802
 317.5        19459  12550        15125          16925
 318.5        19639  12660        15946          17668
 319.5        19003  11690        15812          16952
 320.5        19376  11340        15964          17632
 321.5        18876  12130        15718          18987
 322.5        18980  11931        15954          18736
 323.5        19141  12820        15432          16932
 324.5        19013  11900        15398          18187
 325.5        19270  11960        14976          16417
 326.5        19032  12183        15606          17126
 327.5        18732  12050        15317          16360
 328.5        18587  12180        14406          17473
 329.5        19047  12390        15170          17171
 330.5        18681  12023        14702          17269
 331.5        18833  11840        14630          15736
 332.5        18413  11570        14547          17624
 333.5        18383  11840        15354          18223
 334.5        18226  11860        15146          15480
 335.5        18536  12050        14245          17005
 336.5        18579  11990        14844          18021
 337.5        18139  12570        14335          16084
 338.5        18423  11860        14204          15971
 339.5        17681  12140        14521          15314
 340.5        18120  12110        15140          14174
 341.5        17671  11640        14385          16888
 342.5        17874  11947        13768          14480
 343.5        17554  12000        14302          14674
 344.5        18125  12010        14850          18078
 345.5        17976  11390        14484          19135
 346.5        17465  12030        13833          14937
 347.5        17683  11620        13767          16431
 348.5        17507  12050        14066          15658
 349.5        17797  11830        13771          15891
 350.5        17464  11678        14069          15203
 351.5        17286  12080        14543          15992
 352.5        17162  11601        12923          14565
 353.5        17581  10800        13944          14335
 354.5        17071  11402        13944          16830
 355.5        17113  11191        14147          18122
 356.5        16731  11570        13410          15087
 357.5        17151  11120        14080          17265
 358.5        16999  12060        13795          14784
 359.5        16448  11350        13021          16097
 360.5        16736  11870        13153          15719
 361.5        16642  11170        13035          15692
 362.5        16905  11400        12893          14567
 363.5        16985  11203        13138          14743
 364.5        17053  11430        13514          16555
 365.5        16029  11640        12959          15290
 366.5        16130  11280        12309          15166
 367.5        16279  10992        13048          14996
 368.5        16467  11633        13170          13722
 369.5        16192  11360        12466          17713
 370.5        16411  11350        13018          14194
 371.5        15693  11110        12440          13867
 372.5        16305  10800        12565          13622
 373.5        15717  12010        12348          14896
 374.5        15836  10950        12147          15819
 375.5        15953  11300        12528          13508
 376.5        15706  11230        12399          12876
 377.5        15862  11110        12137          13868
 378.5        15272  10990        12265          12487
 379.5        15711  11241        12588          15210
 380.5        15736  11150        12141          15769
 381.5        14906  10937        11866          13726
 382.5        14762  11590        12158          12053
 383.5        15182  10540        12117          13555
 384.5        15278  10640        12275          13534
 385.5        15234  11421        11546          14970
 386.5        14912  10650        12157          13359
 387.5        14608  11050        12050          15795
 388.5        15206  10190        11581          13787
 389.5        14780  10634        11654          13690
 390.5        14609  10650        11691          12253
 391.5        14702  10710        11819          11716
 392.5        14598  10510        11875          13475
 393.5        14722  10110        11619          11926
 394.5        14334  10760        11560          13809
 395.5        14260  10720        11233          12761
 396.5        14390  10070        11500          11444
 397.5        14597   9980        11253          13223
 398.5        14413  10500        11636          14108
 399.5        14330  10760        11254          12254
 400.5        14132  10090        11147          13193
 401.5        14478  10200        10971          12608
 402.5        13710  10441        10949          11657
 403.5        13831  10030        11354          12539
 404.5        13868  10420        10687          13211
 405.5        13326   9780        10924          12649
 406.5        13964   9840        11211          13149
 407.5        13477   9950        10321          11916
 408.5        13565   9950        10672          13703
 409.5        13150  10320         9948          12820
 410.5        13541  10780        10415          12030
 411.5        13517  10280        10207          11447
 412.5        13840   9890        10403          11460
 413.5        13449  10482        10150          12167
 414.5        13252   9780         9979          11423
 415.5        12977   9950         9531          11662
 416.5        13023   9930        10127           9869
 417.5        12955  10060        10341          12493
 418.5        13051  10000         9947          10480
 419.5        12303   9680         9972          10287
 420.5        12812   9541         9615          11798
 421.5        12512   9570         9428          10252
 422.5        12952   9607         9545          12355
 423.5        12596   9470         9187          10936
 424.5        12751   8770         9468          11052
 425.5        12333   8940         9114          10888
 426.5        12385   9300         8919          11182
 427.5        12117   8870         9700          11572
 428.5        12293   8920         9837          10799
 429.5        12237   9200         9937          10902
 430.5        11964   8740         8988          10309
 431.5        11968   9190         9263          10235
 432.5        12041   8931         8880          12021
 433.5        12418   9510         8900          10417
 434.5        11722   9060         9102          10226
 435.5        11549   8760         9244          11869
 436.5        11888   8290         8761           8813
 437.5        11631   8600         7886          10686
 438.5        11472   8660         8138           9153
 439.5        11547   8660         8617           9495
 440.5        11453   8300         8431          10308
 441.5        11474   8890         8298          10173
 442.5        11187   8011         8226           8247
 443.5        11266   8640         8448          10583
 444.5        11132   8300         8223           8771
 445.5        11267   8480         7958          10175
 446.5        11331   8610         8366           8667
 447.5        11274   7737         7927          11254
 448.5        10789   7850         7882          10435
 449.5        11216   8410         7877          10748
 450.5        10941   8300         8299          10284
 451.5        10778   8100         7632           8755
 452.5        10697   8160         8161           8690
 453.5        10458   8430         8187           8800
 454.5        10335   7880         8327          11089
 455.5        10518   7940         7834           9269
 456.5        10554   7870         7417           8844
