#,gamma,,,proton,,
 #x(mm) ,        E(MeV) ,       Edep(MeV) ,, #x(mm) ,        E(MeV) ,       Edep(MeV) 
1962.5,0.127958,0.00063715,,392.5,2.99147,20.635
1967.5,0.0816292,0.00222177,,393.5,0.622345,3.06615
1972.5,0.147655,0.00118719,,394.5,0,0
1977.5,0.135618,0.00063572,,395.5,0,0
1982.5,0.223799,0.0016686,,396.5,0,0
1987.5,0.214492,0.0006085,,397.5,0,0
1992.5,0.153192,0.00066611,,398.5,0,0
1997.5,0.216231,0.00118777,,399.5,0,0
2002.5,0.0626103,0.00112958,,400.5,0,0
2007.5,0.144442,4.141E-05,,401.5,0,0
2012.5,0.0716856,0.0006085,,402.5,0,0
2017.5,0.129538,0.00227594,,403.5,0,0
2022.5,0.0528271,2.923E-05,,404.5,0,0
2027.5,0.0616069,4.284E-05,,405.5,0,0
2032.5,0.0899333,0.00116024,,406.5,0,0
2037.5,0.0513619,0.00114636,,407.5,0,0
2042.5,0.081183,7.18E-05,,408.5,0,0
2047.5,0,0,,409.5,0,0
2052.5,0.0404917,5.761E-05,,410.5,0,0
2057.5,0.222259,0.00057985,,411.5,0,0
2062.5,0.0971162,0.00057869,,412.5,0,0
2067.5,0.149024,0.00059288,,413.5,0,0
2072.5,0.192955,0.00059431,,414.5,0,0
2077.5,0.121136,0.0011174,,415.5,0,0
2082.5,0.0596732,0.00063746,,416.5,0,0
2087.5,0.271458,0.00058012,,417.5,0,0
2092.5,0.0437109,1.419E-05,,418.5,0,0
2097.5,0.0482655,0.00065049,,419.5,0,0
2102.5,0,0,,420.5,0,0
2107.5,0.0671375,0.00062412,,421.5,0,0
2112.5,0.325024,0.00056651,,422.5,0,0
2117.5,0,0,,423.5,0,0
2122.5,0.073731,5.846E-05,,424.5,0,0
2127.5,0.0457417,0.00058012,,425.5,0,0
2132.5,0.0502734,0.00059288,,426.5,0,0
2137.5,0.16128,0.00010103,,427.5,0,0
2142.5,0.328163,0.00056508,,428.5,0,0
2147.5,0.0349399,0.00058012,,429.5,0,0
2152.5,0.010286,0.00162545,,430.5,0,0
2157.5,0.0568517,0.00056651,,431.5,0,0
2162.5,0.0606535,0.00113217,,432.5,0,0
2167.5,0.0761905,0.00053728,,433.5,0,0
2172.5,0.0655462,0.00062327,,434.5,0,0
2177.5,0.236752,0.00056566,,435.5,0,0
2182.5,0,0,,436.5,0,0
2187.5,0.0544158,0.00062153,,437.5,0,0
2192.5,0.0536005,0.00058012,,438.5,0,0
2197.5,0.0492386,1.419E-05,,439.5,0,0
2202.5,0.082433,1.419E-05,,440.5,0,0
2207.5,0.0707073,2.78E-05,,441.5,0,0
2212.5,0,0.00053728,,442.5,0,0
2217.5,0.0614338,4.284E-05,,443.5,0,0
2222.5,0.118779,5.703E-05,,444.5,0,0
2227.5,0.158778,7.122E-05,,445.5,0,0
2232.5,0.0720822,0.00053728,,446.5,0,0
2237.5,0.102125,0.0005645,,447.5,0,0
2242.5,0.102101,0.00166887,,448.5,0,0
2247.5,0.0968473,0.00107456,,449.5,0,0
2252.5,0,0,,450.5,0,0
2257.5,0,0,,451.5,0,0
2262.5,0,0.00053728,,452.5,0,0
2267.5,0,0,,453.5,0,0
2272.5,0.108216,0.00108817,,454.5,0,0
2277.5,0,0,,455.5,0,0
2282.5,0,0,,456.5,0,0
2287.5,0,0,,457.5,0,0
2292.5,0.669242,1.419E-05,,458.5,0,0
2297.5,0,0,,459.5,0,0
2302.5,0,0.00053728,,460.5,0,0
2307.5,0,0,,461.5,0,0
2312.5,0,0,,462.5,0,0
2317.5,0,0,,463.5,0,0
2322.5,0,0,,464.5,0,0
2327.5,0,0,,465.5,0,0
2332.5,0.206982,1.361E-05,,466.5,0,0
2337.5,0.142858,0.00055147,,467.5,0,0
2342.5,0,0,,468.5,0,0
2347.5,0.0879795,0.00010103,,469.5,0,0
2352.5,0.0511001,0.00059431,,470.5,0,0
2357.5,0,0,,471.5,0,0
2362.5,0.0502111,0.00164022,,472.5,0,0
2367.5,0,0,,473.5,0,0
2372.5,0,0,,474.5,0,0
2377.5,0,0,,475.5,0,0
2382.5,0.0631163,0.00053728,,476.5,0,0
2387.5,0.143492,0.00107456,,477.5,0,0
2392.5,0.151515,1.419E-05,,478.5,0,0
2397.5,0.0318339,0.00055089,,479.5,0,0
2402.5,0.019676,0.00107456,,480.5,0,0
2407.5,0,0,,481.5,0,0
2412.5,0,0,,482.5,0,0
2417.5,0,0.00053728,,483.5,0,0
2422.5,0,0,,484.5,0,0
2427.5,0,0,,485.5,0,0
2432.5,0,0,,486.5,0,0
2437.5,0,0,,487.5,0,0
2442.5,0,0,,488.5,0,0
2447.5,0,0,,489.5,0,0
2452.5,0,0,,490.5,0,0
2457.5,0,0,,491.5,0,0
2462.5,0,0,,492.5,0,0
2467.5,0,0,,493.5,0,0
